title,company,country,date_posted,description,indeed_skills,skills
Data Scientist,AirAsia,Malaysia,2020-08-15,"Job DescriptionOverviewThis role will responsible to discover the information hidden in vast amounts of data to ensure smarter business decisions are made and deliver better products. The primary focus will be in applying machine learning techniques, doing statistical analysis, and building high quality prediction systems integrated with our products ie: automate scoring system using machine learning techniques, route recommendation engine, automate internal A/B testing procedures, member point auto reward model, fraud detection etc.Duties & Responsibilities1. Define the objective and scope of the machine learning2. Data preparation which include processing, cleansing, and verifying the integrity of data used for analysis3. Selecting features, building and optimizing classifiers using machine learning techniques4. Applied various modelling technique using state-of-the-art methods to achieve optimal result5. Evaluate machine learning performance in term of accuracy and ROI6. Monthly model monitoring, refresh or rebuild the model when the model performance has deteriorated7. Extending company’s data with third party sources of information when needed8. Enhancing data collection procedures to include information that is relevant for building analytic systems9. Performing strategic and tactical analysis and presenting results in a clear and easy to understand manner10. Creating automated anomaly detection systems and constant tracking of its performanceIf you choose to Apply with LinkedIn, please verify that your personal information and experience auto-populate in the appropriate fields, as your profile may not match the format for our site.We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.","'C', 'R'","['A/B Testing', 'Accuracy', 'Analytical', 'Anomaly Detection', 'Data Preparation', 'Information Threat', 'LinkedIn', 'Machine Learning', 'Modelling', 'Objective-C', 'Processing', 'Recommendation Engine', 'Router', 'Statistical Analysis', 'TestNG']"
Data Scientist,PLUS SOLAR SYSTEMS SDN BHD,Malaysia,2020-07-26,"Work With Stakeholders Throughout The Organization To Identify Opportunities For Leveraging Company Data To Drive Business Solutions.Mine And Analyse Data From Company Databases To Drive Optimization And Improvement Of Product Development, Marketing Techniques And Business Strategies.Assess The Effectiveness And Accuracy Of New Data Sources And Data Gathering Techniques.Develop Custom Data Models And Algorithms To Apply To Data Sets.Kuala Lumpur",'C',"['Accuracy', 'Algorithm', 'Data Gathering', 'Database', 'Marketing', 'Product Development']"
Scientist,Mediven,Malaysia,2020-07-26,"MedivenTM aspires to be a provider of innovative solutions for affordable healthcare in developing nations. We are constantly on the look out for talents who can help us in this mission. Please feel free to send your resume to us if you wish to join our family!Responsible for supervising projects and work with team member to ensure that the project remains on schedule. To help determine the goals of the research project, research methods, and other test parameters. Research officers may also review and analyse data during the course of the project. Strongly preferred candidates with graduate degree and computer skills.ResponsibilitiesTo carry out literature search and market survey of potential kits for development.To keep up with the current market trends and ensure the research team remains updated.To carry out R&D based on projects assigned.To conduct production of Mediven products.To conduct QC test on incoming raw materials and outgoing products.To prepare and produce documentation (product specification, CoA, IFU, certificates) and technical support upon request from sales department or customer.To maintain cleanliness and tidiness in the laboratory.To co-ordinate with colleagues at all times to enable smooth operation and instill team spirit to enhance productivity with minimum supervision.To assist in developing plan for maximizing commercial potential of a product or diagnostic area.To perform quantitative/qualitative analyses of disease and diagnostic trend.To assess opportunities for expanding market share and competitive positioning.To conduct product and technology training.Regularly attending company meetings, technical data presentations and briefing.Keeping up with the latest clinical data supplied by the company and interpreting, presenting and discussing this data with stakeholders during presentation.Help in monitoring competitor activity and competitor’s products.To prepare documents and perform special tasks in a timely manner upon request from Lead Scientist, Operations Director or designated personnel.Assist in the establishment of test controls, criteria and research standards; design and oversee the construction of necessary equipment; and develop and test experimental designs, sampling techniques, and analytical methods and make recommendations for their utilisation.Organise data research and analysis procedures.Participate in the development of general goals for the research project and in the planning of the field and/or laboratory work; plan and coordinate the work of laboratory assistants and serve as a consultant to the project director and staff.Current Opening: 0AbilitiesDemonstrated ability to meet deadlines without compromising close attention to detail and accuracy.Proven ability to work as a member of a team as well as autonomously without close supervision.Demonstrated ability and willingness to take initiative and to improve and enhance existing systems and procedures (quality assurance).Demonstrated ability to maintain confidentiality and comply with privacy requirements.RequirementsCandidate must possess at least a Bachelor’s Degree, Post Graduate Diploma, Professional Degree, Master’s Degree, Doctorate (PhD), Biology, Medical Science, BioTechnology or equivalent.At least 3 years’ experience in molecular and life science products is required for this position.Preferably Senior Executives specializing in Biotechnology, Molecular Biology, Life Science, Genetic Engineering or equivalent.Candidates should be highly motivated, conscientious and able to work independently with good organisational, verbal and interpersonal skills.Applicants must be willing to work in Gelugor, Penang.Possess own vehicle and willing to travel locally.Self-driven and result oriented.(0) Full-Time position(s) available.","'C', 'R'","['Accuracy', 'Analysis', 'Analytical', 'Biotechnology', 'Construction', 'Data Presentation', 'Design', 'Development Tools', 'Documentation', 'Genetic Engineering', 'Healthcare', 'Life Science', 'Literature', 'Market', 'Molecular Biology', 'Privacy', 'Quality Assurance (QA)', 'Research and Development (R&D)', 'Sales', 'Sampling', 'Technical Support', 'Training']"
Data & Advanced Analytics Architect,Orsted,Malaysia,2020-08-14,"Imagine a future where you architect revolutionary cloud solutions to enable the use of data and generate powerful insightsJoin us in this role where you’ll be a central part of our core team which ensures that the architecture of the shared infrastructure and tooling of the data lake supports the needs of the business and is aligned with the strategy of and vision of the Group’s data ecosystem. In particular, the Data & Advanced Analytics Architect ensures that the priorities of the core development team are aligned with priorities in ARTs and projects so that the value creation of the data lake is maximised.Welcome to Data & Advanced AnalyticsThe Data & Advanced Analytics team is one of five teams in Architecture, Data & Technology (ADT) in the Group’s IT department and consists of 25 professionals within the areas of data management, data engineering, data science, and platform engineering. Our team is committed to delivering on the Group’s Digital Strategy by making data available, extracting insights and value from data, and applying domain expertise, tools and technology, and contemporary analytics.You’ll play an important role in:defining the architecture of the Ørsted Data Ecosystem (ØDE)maintaining and implementing the processes of ØDEassessing requests from ØDE clients such as ARTs, projects, and change requests and evaluating whether the case is suitable for the ØDE architecturealigning the Ørsted Data Lake (ØDL) architecture with the ARTs for technology choice and solutions in the ARTsmaintaining the ØDL core team backlog to ensure alignment with architecture and strategy internally within ADT as well as prioritising the requests from ARTs and projectssupporting and coaching ØDL data engineers and data scientists in data pipeline designs, model, and applications development.To succeed in the role, you:have experience with professional software development and operationshave experience with software development in Pythonhave experience with application architecture and cloud architecturehave experience with DevOps, unit testing, and CI/CD (e.g. using Azure DevOps)have a bachelor’s or master’s degree in a relevant field, such as engineering or computer scienceare a team player, willing to learn new technologies and methods, and are happy to drive progress.Join a world leader in green energyØrsted is a global leader in offshore wind energy and ranked the world’s most sustainable energy company. To be a frontrunner, we invest significantly in employee development and from the moment you join us, we’ll support your personal and professional growth. Here, you’ll get the opportunities that will unleash your full potential, and you’ll experience a collaborative, diverse, and dynamic work environment.Shape the future with usSend your application no later than 31 October 2020. We’ll be conducting interviews on a continuous basis.Don’t hesitate to contact Tristan El Jed, Data & Advanced Analytics Team Lead in ADT GDC, at recruitement_MY@orsted.dk if you’d like to know more about the position.Please note that you’re expected to do some travelling in relation to your work, as you’ll participate in Architecture, Data & Technology department meetings in Denmark as well as be involved in providing guidance for certain projects in Denmark.About the jobApplication deadline: 2020-10-31T23:59:59.0000000Country: MalaysiaWorkplace: Kuala LumpurWorking hours: Full-timeImagine a future with Ørsted About Ørsted6,500 employees worldwide.Headquartered in Denmark and operating in seven countries.Ørsted develops, constructs and operates offshore and onshore wind farms, solar farms, energy storage facilities, and bioenergy plants, and provides energy products to its customers.Our vision is to create a world that runs entirely on green energy.An inclusive teamØrsted wants all employees to have the same opportunities for impact and growth, regardless of age, nationality, disability, ethnicity, gender, sexual orientation or beliefs. We’re committed to secure an inclusive work environment characterised by a respect for all people so everyone feels free to openly share their input and ideas.What we offerWell-being at work.Flexible working hours.Reimbursement of Extended Medicals (REM).Family friendly facilities and benefits, incl. four months maternity leave and one month working from home.","'C', 'Python', 'R'","['Analytical', 'Architecture', 'Arts', 'Coaching', 'Computer Science', 'Continuous Delivery (CD)', 'Continuous Integration (CI)', 'Creatio', 'Data Engineering', 'Data Management', 'Data Pipeline', 'Data Science', 'Design', 'DevOps', 'Development Tools', 'Employee Development', 'Imagine', 'Information Technology (IT)', 'Microsoft Azure', 'Platform', 'Play', 'Rapid Application Development', 'Software Development Kit (SDK)', 'TestNG', 'Testing']"
AI Analyst,"ACE Digital, Ace Resource Advisory Services Sdn Bh...",Malaysia,2020-08-19,"Key Responsibilities:Assist Data Scientists in research, experimentation, development of new approaches in high value projects deliveries.To work in team collaboration on data mining, visual/descriptive analytics, machine learning, cloud computing platforms, using any suitable statistical/numerical techniques.To be diligent in learning / scaling up in the areas of Data Science-AI with self-initiative towards career excellence. -|- Skills and Qualifications:Outstanding collaboration, interpersonal and communication (written and verbal) skills in English a must. Bahasa and Mandarin knowledge will be advantageous.Ability to work in cross-functional teams Education:Degree/Masters/PhD. in Computer Science/ Software Engineering/ Computational Statistics/Physics, or any other related computational/ quantitative discipline.","'C', 'R', 'Statistics'","['Analytical', 'Artificial Intelligence (AI)', 'Cloud Computing', 'Collaboration', 'Communication', 'Computer Science', 'Computing Platform', 'Data Mining', 'Data Science', 'English', 'Machine Learning', 'Physics', 'Research', 'Software Engineering', 'Statistics']"
Customer Success Account Manager,Microsoft,Malaysia,2020-08-19,"Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. You can help us to achieve our mission.Customer Success: Microsoft aspires to help our customers achieve their own digital transformation, leveraging the power of Microsoft Cloud solutions and support offerings. To this end, Microsoft invests in a dedicated Customer Success team that will help Microsoft customers successfully realize their business outcomes.As a Customer Success Account Manager, you are the primary customer facing role responsible for customer success through the management of program deliveries and strong customer relationships. The prevailing business priority is the customers’ successful adoption and productive use of Microsoft cloud technologies. You are front and center with our customers supporting their digital journey and empowering them to achieve more!We are always learning. Insatiably curious. We lean into uncertainty, take risks, and learn quickly from our mistakes. We build on each other’s ideas because we are better together. We stand in awe of what humans dare to achieve and are motivated every day to empower others to do more and achieve more through our technology and innovation. Together we make a difference.To learn more about Microsoft’s mission, please visit: https://www.microsoft.com/en-us/aboutCheck out all of our products at: http://www.microsoft.com/en-usResponsibilitiesWe are looking for a highly motivated and passionate Customer Success Account Manager (CSAM) to drive program management for Strategic accounts that have a significant number of key cross cloud workload engagements running concurrently.As the CSAM you will drive acceleration of cloud adoption from Pilot/MVP to production for customers’ cloud engagements by providing cross-engagement oversight, resource orchestration, and blocker escalation in close collaboration with key account team unit members and business partners supporting customer success.Key Accountabilities include:Fulfill Support contract obligations by driving quality planning and delivery of Support services to realize customer business outcomes and overall experience with Microsoft solutions.Partner with your customer and Account Team to prioritize and plan customer engagements and programs across cloud and on-premise workloads.Define outcomes to improve the health, performance, and business capabilities of the prioritized workloads to drive customer value realization.Orchestration, customer sponsor management, and stakeholder communication of prioritized engagements and programs.Track, escalate, and plan for the remediation of technical blockers and provide engineering feedback to further our product and solutions as appropriate.QualificationsExperience - 5+ years of success in complex technical engagement management and/or program management required. Prior work experience in a Program Manager or Engagement Manager position focused on Cloud and software/services solution preferred.Leadership - This role requires strong communication skills, as well as displaying executive presence and confidence in varying levels of customer situations. The CSAM must show leadership in teams comprised of Microsoft, Partner and customer resources who may be engaged in the delivery of complex solutions for overall customer success.Relationship Building - Proven track record of building relationships with senior customer executives in large or highly strategic accounts. Experience in managing various stakeholder relationships to get consensus on solutions/engagements required.Program Management - Excellent skills in planning for a portfolio of engagements, cross-group collaboration, resource orchestration, communications, analytical capabilities, and attention to detail required.Collaboration and Communication - Proven track record of driving decisions collaboratively, resolving conflicts, and ensuring follow-through with verbal and written communication. Strong presentation skills with a high degree of comfort with both large and small audiences and various levels of management (Senior Executives, IT management, Database administrators and Data Scientist).Technical - Experience with cloud and hybrid infrastructures, architecture designs, and migrations preferred. Knowledge of market trends and competitive insights preferred. Understanding of partner ecosystems and the ability to leverage partner solutions to solve customer needs preferred.Education - Bachelor’s degree or equivalent work experience. Bachelor's degree in Computer Science, Information Technology, Engineering or related field preferred. Certification(s) in the following preferred:1. Project Management: PMP2. Technologies: Cloud, mobile, web application development, cloud-native application architecturePLS NOTE: Due to current pandemic related to COVID-19 and the visa/borders restrictions in place, we are unable to hire talent who cannot work from Malaysia. Therefore, we will be prioritizing candidates who can commence work in Malaysia within intended hiring timeframe. We are actively monitoring the situation and will review our hiring stance accordingly as circumstances evolve.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.","'C', 'Excel', 'R'","['Analytical', 'Architecture', 'Cloud Technology', 'Collaboration', 'Computer Science', 'Database Administration', 'Design', 'Engineering', 'Information Technology (IT)', 'Innovation', 'Leadership', 'Market', 'Microsoft', 'Presentation', 'Project Management', 'Uncertainty', 'Web Application Development', 'Written Communication']"
Human Resource Consultant,HR Human Resources,Malaysia,2020-07-26,"HR Consultant, Regional Consulting Center (RCC)Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.The Regional Consulting Center is key to supporting the business and line managers in all HR Consulting topics. This team provide the HR face to the business and includes responsibility for improvement, including how HR Consultancy, systems, processes and data can be optimised to make the service even better and take a pro-active approach to lead not just respond to business requirements.Working within the RCC, the HR Consultant will provide advice, coaching and HR Consultancy on a range of topics to line managers in a Country/Region, in accordance with the Nokia HR Shared Services model.Key responsibilities - Coaching and Consulting line managers as part of a HR Shared Services model, in line with HR strategy and according to established HR policies and procedures. - Providing advice and support to line managers in the application of policies and programs in the areas of employment, labor relations, compensation, training, performance management and other areas of HR. - Successfully deliver commercially focused, client-responsive solutions. -Coaching line managers (country/region level) to lead people management activities and engage with HR practices, including dealing with sensitive and difficult work-related problems - Enabling Nokia People Focus with Line Managers. -Managing employment relations, labour law issues, and any collective agreements. - Supporting managers in maintaining and improving team well-being. - Driving and promoting internal company culture and values. - To be a member on short term projects to support the HR initiative that adds value to the business and embed changes into the RCC, working with internal stakeholders to ensure high quality HR delivery of service and projects. - Contributing to the wider HR Community through implementing and sharing best practice and through proactive continuous learning and development. - Enabling senior managers to have access to timely and accurate regional management information relating to their business areas analysing trends, forecasting and highlighting risks and opportunities. (e.g. attrition, inclusion & diversity, sickness absence, workforce structure and composition). - Collaborate with HR Business Partners to support business group programs and initiatives relating to own country/region. - Ensuring appropriate process, policy and tool training (when implementing new practices). - Enabling program equity and compliance to Company policy and regional/country specific requirements through regular contact with CoE, HR Operations, Talent Acquisition. - May develop region and/or country-specific programs and policies. - Consulting on high-level (for region, country, and/or business group) action planning and implementation in response to employee engagement process. - Providing/facilitating talent management review, succession planning and team & leadership development. - Participating in special projects on a region/country basis to support change management and strategic initiatives. - Providing country/regional support to Mergers & Acquisition, Insourcing and Outsourcing and divestiture activities on a project basis. - Supporting restructuring and outplacement activities in country.Key personal attributes - Highly customer-focused and proactive, anticipating their needs and providing value adding solutions aligned within the relevant business context. - Creative and curious: thinks outside the box when resolving issues; suggests improvements and seeks opportunities for innovation. - Shares best practice and ideas with wider team (on a local and regional/global level). - Builds networks with all levels, with proven ability to build positive relationships with multiple stakeholders and in a demanding and fast paced environment. - Strong ability to adapt to change and be an active change management supporter. - Willingness to work in a fast-paced, flexible environment. - Strong detail orientation, follow up and organizational skills. - Strong team player. - Prepared to take some risks and to leap out of comfort zone. - Adaptability: work effectively in complex and ambiguous situations, while still maintaining positivity. - Strong communication skills both verbal and written; proven experience of establishing, maintaining and developing working relationships at all levels.NetworkRegion HRCountry HRHR Business PartnersTalent AcquisitionRegion C&BCoEHR OperationsOther essential requirements -Bachelors Degree or equivalent experience. -Typically 8+ years relevant experience, ideally gained working in a global organisation. -Recognised HR generalist who requires minimum supervision. -Deep knowledge of employment-related laws and regulations, HR concepts and expertise. -Knowledge and expertise related to HR policies, processes and practices of -Compensation and Benefits, Performance Management, Leadership Development and Reward & Recognition. -Oral and written fluency in English.","'C', 'R'","['Adaptability', 'Box', 'Change Management', 'Coaching', 'Communication', 'Consulting', 'English', 'Equity', 'Forecasting', 'Hardware', 'Human Resource (HR)', 'Innovation', 'Internet of Things (IoT)', 'Law', 'Leadership Development', 'Microsoft Access', 'Network', 'Organizational Skill', 'Outsourcing', 'Performance Management', 'Research', 'Talent Management', 'Training', 'Transformer']"
Client Services/Customer Care Advisors Principal,Ipreo,Malaysia,2020-08-05,"Your roleAre you a problem solver? Do you enjoy developing innovative solutions?We’re looking for a Customer Solutions Advisor, within the IHS Markit Energy & Natural Resources Division to:Provide training and support (webinar, on-site, email) to APAC clients (and other global regions as needed) on the Energy & Natural Resources insight and analytical services available on the Connect platform.Promote and advance Energy & Chemical modules on the Connect Platform externally to clients and internally amongst colleagues operating across APAC.Provide support through workflow-based presentations and mentoring.Understand the particular needs, workflows, and challenges of Energy clients in APAC and provide feedback on region-specific recommendations & requirements to the operations and product teams.Facilitate technical communication between internal stakeholders directing customer feedback into the operations team.Provide feedback to the Operations Team on issues related to Marketing and external messaging.Provide customer feedback to Sales, Research, Product Management and Development teams to assist in the development of existing and new services.Monitor the competitor landscape in the APAC Region, providing feedback to the sales, product and support teams.Work in collaboration with the rest of the team to create and maintain consistent, effective and up-to-date proactive user guides and videos to support products and trainings.Participate in regional event planning, representing IHS Markit in regional events (as deemed safe and appropriate due to COVID-19)Your teamYou will be working in the Connect ENR Customer Care Tier 2/3 Global Team in APAC. The team of over 20 team members consists of technical specialists and trainers worldwide supporting IHS Markit Upstream Oil & Gas, Oil Markets, Chemical, Power, Natural Gas, Coal, Renewables, and Agribusiness.Your ExpertiseYou havea Degree in Oil & Gas or related studiesMinimum 3 years’ Customer Care and/or Energy experience within the APAC regionFluent in English, other languages are desirable (Mandarin, Japanese, etc.).Knowledgeable in the Energy industryStrong analytical skills and a high level of proficiency with MS applications.Excellent communication and presentation skillsA good understanding of the oil and gas life cycle, oil and gas operations and economic evaluation.Strong technical support experience with ability to respond to tight deadlines demonstrating attention to detail.Technology background with ability to quickly learn and assimilate new products and communicate that knowledge to othersAbility to travel in APAC up to 60% time. (as deemed safe and appropriate due to COVID-19)Your Benefits Receive extensive 4-6 month training/onboarding Flexibility to work independently with team support Career pathing and development opportunitiesFlexible WorkingWe are happy to consider requests to work flexibly. For most roles, flexible hours and/or an element of working from home are usually possible. Please talk to us at interview about the type of flexibility you need. We can’t promise to give you exactly what you want, but we do promise not to judge you for asking.Your colleaguesAbout usWe are over 14,000 analysts, data scientists and specialists armed with real-time technology and data, working together to uncover deeper sources of information. The unique insights we provide help the industries and markets that drive our economies operate more efficiently, outpace competition and secure long-term success. Our global insights impact nearly every major sector - from aerospace to automotive. We empower our customers by isolating cause and effect, risk and opportunity in new ways so they can make well-informed decisions with greater confidence. This is a force we call The New Intelligence.Join usBoundaries belong on maps, not in your work. Start every day at IHS Markit with the excitement of what’s next, by working with people from across the globe on interesting, cutting-edge projects and gaining once-in-a-lifetime learning experiences. It is easy to be passionate and invested in your work here, knowing you are causing an effect for some of the world’s most influential companies. You’ll get to be hands-on with, and see the direct impact, of your work. Career satisfaction just comes with the territory here-IHS Markit is committed to providing equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by the laws and regulations in any of our locations.We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.","'C', 'Excel', 'R'","['Aerospace', 'Analytical', 'Automotive', 'Chemical', 'Collaboration', 'Communication', 'Competition', 'Division', 'Economics', 'Email', 'English', 'Event Planning', 'Information Threat', 'Japanese', 'Law', 'Market', 'Marketing', 'Oil and Gas', 'Platform', 'Presentation', 'Product Management', 'Recommendations AI', 'Research', 'Sales', 'Technical Support', 'Training', 'Video']"
"XAXIS | Manager, Programmatic Operations & Trading",Xaxis,Malaysia,2020-08-22,"Overview of jobXaxis is looking for a Manager to join the Programmatic Operations team for Malaysia. The Programmatic Operations team at the heart of all Xaxis activity, and is pivotal to the success of each campaign that is executed. The team works closely with all other teams within the Xaxis family from Engagement and Analytics to Data and Product. We are looking for someone with a positive attitude, enthusiastic and is flexible with embracing changes and new challenges.3 best things about the job:It’s a great work environment - You will collaborate with a group of quick witted, humorous, diverse and extremely dedicated colleagues who are all passionate about programmatic and making advertising welcomeOpinions and ideas are highly encouraged, and everyone has a voice at Xaxis. Ambition is expected and passion is admired. We are always open to new ways of thinking from everyone, especially those that will contribute to the overall success of XaxisIt is never static. You are empowered to create your own balance and be proactive. There is always something new to learn, new challenges to overcome, and new technology to embrace everydayResponsibilities of the role:Day to day responsibilities:Opportunity to work on local and global clients to manage their programmatic campaigns across all channelsManage the end to end process from set up, tagging and optimization to ensure report metrics are fully capturedStrategize and execute campaigns on our platform and ensure optimal delivery and performance alongside internal and regional Xaxis team.Analyze campaign data to develop insights and strategies for campaign optimizationEnsure alignment and standardization across regional and global processes.Share updates with agencies as well as provide in-depth campaign insights and optimization recommendations for campaign improvementStrategic Responsibilities:Mentor and provide guidance to junior members of the teamMonitor trends, and uncover and track innovative thinking and ideas from across the industryRoll out test and learn initiatives to drive learnings and better campaign performanceBecome a trusted advisor and expert within the programmatic trading fieldTake an active role in developing broader programmatic strategic recommendations and best practices that can be applied across the whole regionMeasures of success –In three months, you would:Gain an in depth understanding of the programmatic landscape, be trained on the various Xaxis platforms and tools and have an understanding of how Xaxis operatesIncorporate and recommend other aspects of the Xaxis business including audience planning and insights as part of the overall campaign strategy and executionDevelop relationships and earn trust with your own team as well as the regional operation teamsIn six months, you would:Mentor, guide and lead your team both a day-to-day aspects as well as from a talent development perspectiveBecome a trusted advisor and partner to local market teamsApproach Trading from a strategic perspective – and also incorporate Test and learn initiatives and knowledge share with the wider trading team in all aspects of Programmatic TradingIn 12 months, you would:Develop and identify gaps/processes/tools to improve campaign performance and efficiencyIdentify gaps and opportunities areas for your local markets and support them to maintain their edge and always stay ahead in the programmatic space within their local marketsDevelop your team and their talents - identify opportunity areas for them to growWhat you will need:Bachelors degree in marketing, communications or a related field3-5 years professional experience with digital mediaHands on experience and knowledge in programmatic tradingDeep understanding of DSPs/SSPs, RTB, ad exchanges, DMPs, audience targetingExperience in campaign implementation, optimization and reporting, experience with response driven/demand generation campaignsExperience in managing and dealing with multi-markets across APAC preferredUnderstanding of the digital media ecosystem and technology including ad tagging and site analyticsKnowledge and passion for digital marketing: digital display, digital branding, digital direct response, SEM, video & mobileMust be able to work in a fast paced environment - harvest vast amounts of information, news, data, and research and distil the most important/relevant information for your agency team and their clients.About XaxisXaxis is a global digital media platform that programmatically connects advertisers and publishers to audiences across all addressable channels. Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and software engineers. Advertisers working with Xaxis achieve higher ROI from digital marketing campaigns. Xaxis works with over 3,000 clients across 47 markets in North America, Europe, Asia Pacific, Latin America and the Middle East. For more information, visit www.xaxis.com","'C', 'R'","['Advertising', 'Analytical', 'Branding', 'Campaign Optimization', 'Communication', 'Digital Marketing', 'Digital Media', 'Market', 'Microsoft Publisher', 'News', 'Platform', 'Recommendations AI', 'Reporting', 'Research', 'Search Engine Marketing (SEM)', 'Video']"
Test Engineer (Contract),Keysight Technologies,Malaysia,2020-08-05,"Keysight Technologies has been unlocking electronic measurement insights for 75 years, leading the market with the depth and breadth of measurement tools and expertise we have developed thus far. Our key focus is to help business partners, researchers, scientists and engineers to address their toughest challenges with precision, confidence and time to market in winning in the business.As we transform our company from a Hardware-Centric Product company to Software-Centric Solutions company, we are looking for engineers with passion and interest in providing test system, establish processes and software development and maintenance in new product introduction and manufacturing environment.Key responsibilities include;Define, develop, deploy and maintain test system from new product introduction stage till product end of support stage.Lead associate engineers in test system set-up, as well as maintenance and improvement activities.Support state of the art high performance Instruments software. Responsible for identifying, prioritizing and addressing opportunities to improve design of test process and test software in the context of quality, performance, reliability, repeatability and cost.Design, develop, and verify test process, test system, test software and fixtures to facilitate the characterization which include test fixture development, utilizing test metrology & measurement uncertainty techniques and GR&R.Involve in test software/hardware obsolescence and replacement to ensure business continuity.Responsible for providing failure analysis tools, test characterization support, manages test specification, test documentation and test data throughout product life cycle.Support Contract manufacturer activities.Involve heavily in ISO 9001, ISO 17025 compliances activities.Works on manufacturing engineering assignments with broadly defined objectivesSolves straight-forward issues, challenges and problems within field of specializationJob QualificationsBSc/Masters/PhD in Electrical/Electronic Engineering.Knowledge in any of software development such as C/C++/C#/VB/VEE/LabView/RMB/Unix.Experience instrument testing in Unix/RMB/VB/C/C++/VEE/dot net/LINUX environment an added advantage.Working knowledge in electronics measurement equipment, RF/MW test systems an added advantage.Experience in test characterization, test documentation. Technical writing will be an added advantage.Basic understanding of instrument MU analysis in accordance to stringent calibration lab requirements eg. ISO17025.Knowledge or experience in project management will be an added advantage.Ability to interact effectively with people at all levels.Fresh graduates is encouraged to apply.Job FunctionManufacturingShift:Day JobSchedule:Full Time (F)Travel Required:< 25%Duration (Temp Positions Only): > 24 months__________________________________________________________________________________Careers Privacy Statement***Keysight is an Equal Opportunity Employer.***Candidates can be considered to work from the following locations:APAC : Malaysia : Penang : PenangJob ID : 37922","'C', 'C++', 'R'","['.NET Framework', 'Analysis', 'C#', 'C++', 'Design', 'Documentation', 'Electrical Engineering', 'Electronic Engineering', 'Electronics', 'Hardware', 'ISO 9001', 'LabVIEW', 'Lean Software Development', 'Linux', 'Manufacturing Engineering', 'Market', 'Meteorology', 'Metrology', 'Privacy', 'Project Management', 'Technical Writing', 'TestNG', 'Testing', 'Transformer', 'Uncertainty', 'Unix']"
