title,company,country,date_posted,description,indeed_skills,skills
Machine Learning Engineer,3E Accounting Malaysia,Malaysia,2020-07-27,"Position TitleMachine Learning Engineer – Accounting FirmDescription3E Accounting Malaysia is currently looking to appoint a Machine Learning Engineer to join their company digital R&D team in Malaysia office.3E Accounting aims to be the leading corporate service provider and top accounting firm in Malaysia providing One-Stop Solution services for our clients.3E Accounting Pte Ltd, Singapore is the global headquarters of 3E Accounting International, an International Accounting network with a global presence in more than 80 countries worldwide.Our MissionTo offer the Three Es: efficiency, effectiveness and economy, all part of our One-Stop Solution services for our clients.Our VisionThe World’s leading corporate service provider, offering services beyond excellence.Remuneration is commensurate with qualifications and work experience. Qualified and interested candidates should email their resume to info@3ecpa.com.myPlease state your current and expected salary.Job ResponsibilitiesDesign Machine learning solutionsDevelop machine learning application according to requirementsDevelop, improve and maintain the server software architecture for data transfer/population from database Centre via cloud etc.Any other ad-hoc duties as required or assignedRequirementsDegree in Computer Science, Information Technology or related disciplinesProven technical experience as a Machine Learning Engineer or similar roleBasic knowledge in data structure, data modeling and software architectureFamiliar with Machine Learning frameworks and libraries","'C', 'Machine Learning', 'R'","['Accounting', 'Azure Machine Learning', 'Computer Science', 'Data Modelling', 'Data Structure', 'Database', 'Email', 'Information Technology (IT)', 'International Law', 'Network', 'Population', 'Research and Development (R&D)', 'Software Architecture']"
Robotics Engineer,NDR Medical Technology Sdn. Bhd.,Malaysia,2020-08-25,"Job Responsibilities:Conduct research to determine the parameters of a robotic applicationDesign robotic systems from start to finishDevelop and implement software that will control robotsCreate prototypes and work on necessary components (e.g. microprocessors)Develop cost-effective and efficient processes to produce the machinesPerform integration tests and quality controlApply machine learning techniquesCreate complete documentation for robotic systemsMonitor the use of robotic systems and optimize their functionalityTroubleshoot defects in the robot designKeep abreast of advancements in robotics and relevant fields of engineeringJob RequirementBachelor’s Degree / Post Graduate Diploma / Professional Degree in Engineering (Electrical/Electronics/Mechatronics or Robotics) or equivalent.Previous experience as a robotics engineer or similar roleWell-versed in computer science, applied physics, and mechanicsExcellent knowledge of CAD/CAM softwareExcellent knowledge of SolidworkKnowledge of cost, efficiency, and productivity optimization methodsAbility to develop and evaluate integrated systemsAn analytical mindResourcefulnessOutstanding communication skillsJob Types: Full-time, ContractSalary: RM4,000.00 - RM5,000.00 per monthEducation:Diploma/Advanced Diploma (Required)Language:English (Required)Bahasa (Required)Mandarin (Preferred)","'C', 'Excel', 'R'","['Analytical', 'Applied Physics', 'Communication', 'Computer Science', 'Computer-Aided Manufacturing (CAM)', 'Documentation', 'Electronics', 'Engineering', 'English', 'Machine Learning', 'Mechatronics', 'Quality Control', 'Research', 'Robot', 'Robotics']"
Maintenance Technician,JACOBS DOUWE EGBERTS,Malaysia,2020-08-22,"Company DescriptionIt’s amazing what can happen over a cup of coffee"". At JACOBS DOUWE EGBERTS (JDE), we’ve made it our mission to find out. Our people have been raising the bar since day one, thinking fast and acting even faster to make an impact that’s felt around the world. JDE is the home to some of the most well-known coffee brands in the world.For more than 265 years, we have been inspired by the belief. Today our coffee & tea portfolio is available in over 140 countries around the world through iconic household names including: Jacobs, Tassimo, Moccona, Senseo, L’OR, Douwe Egberts, Super, Kenco, Pilao & Gevalia etc.What’s it like to work at JACOBS DOUWE EGBERTS?At JDE, we are convinced that to grow our company we need to grow our people – through learning, coaching and experiences. We want you to be the best that you can be and encourage you to take ownership for your career.Job DescriptionThe Maintenance Technician is responsible to maintain adequately all plant types of equipment, to perform the preventive maintenance program and address all plant equipment problems effectively and efficiently with necessary corrective actions to minimize the loss in production time and capacity. You will also be responsible to assist and support the engineer on a project basis for the plant.To assist the maintenance engineer to ensure the safety of machinery structure in the plant.To weld, fabricate and repair any necessary faulty parts of the machine.To complete and record the monthly maintenance checklist.To take care of plant facilities such as leakage of pneumatic air and water, building doors, changing of the steam gasket, and piping jobs.To take care of the tools at the workshop.To repair the pumps such as changing the mechanical seal, lubrication and greasing.Perform necessary maintenance for building and facilities.Routine inspection on all machinery as per schedule and non-scheduled maintenance.Sustain machine in good condition and the uptime of the equipment meeting the operational goals of uptime, cost and yield.Participate in start-up and shut down activities.To establish and implement preventive maintenance and calibration of equipment.To train the operator on equipment maintenance.Carry out preventative and corrective maintenance work required in the plant.Manage mechanical maintenance work.To complete any mechanical tasks assigned by Superior / Head of Department.To obey company rules and regulation.QualificationsMinimum SPM with Certificate / Diploma in Electrical or Mechanical Engineering or equivalent.At least 3 years of working experience in related industry, preferably in the food & beverage industries.Possess hands-on electrical repairing or mechanical maintenance know-how.Self-motivated, able to work with minimum supervision.Additional InformationPassionate, energetic & innovative work cultureOutstanding Career Development OpportunitiesFlexibility with working hoursThe best coffee and tea served all day in our office – Can you imagine that?Thank you for your interest in JDE, please note we will only reach out to successful candidates.Interested candidates, please submit your application by clicking the link.","'C', 'R'","['Coaching', 'Imagine', 'Machinery', 'Mechanical Engineering', 'Repair']"
Special Training Programme for Project Engineer (OSS Department),RWNA Engineering,Malaysia,2020-07-27,"TRAINING PROGRAMME TITLE:Preparation for Project Engineer (OSS Department)PURPOSE OF THE TRAINING PROGRAMME:To provide exposure, experience and specific working knowledge to new graduates who does not have working opportunity. Maximum of 3 nos. of candidates will be accepted for this position at one time. Places offered are very limited.TRAINING DURATION:Part 1: 6 monthPart 2: 6 monthALLOWANCE:Part 1: RM500 per monthPart 2: RM700 per monthTRAINING MODULE PART 1:Familiarisation with RWNA Engineering HSE/working cultureFamiliarisation with Project Engineer scope of worksFamiliarization with project requirements and the applicable standardsFamiliarization with Engineering Drawings and Technical specificationsFamiliarisation with Document Control SystemExposure to ISO 9001/18000 international standardsExposure to machine maintenance, assembly and testingExposure to assist Project Engineer in managing projectsCandidate need to attend Final exam/assessment during the final week of the training programmePart 1 Certificate will be provided upon successfully complete the training programme part 1TRAINING MODULE PART 2:Pre-requisite need to attend and successfully completed and passed part 1 Training moduleFamiliarisation in participating project meetingsFamiliarisation in monitor and control of project schedulesFamiliarisation of the project sites where applicableFamiliarisation with technical communication in order to improve in communication with project team, vendors and clientsExposure to Project CostingTo involve in coordinating projects and ensure they will be successfully completedCandidate need to attend Final exam/assessment during the final week of the monthAnother Certificate will be provided upon successfully complete the training programme part 2Completion of parts 2 training programme will be considered to be interviewed as Junior Project Engineer at RWNA Engineering Sd. Bhd., if there is an availability of vacancy position at that timeREQUIREMENTS:Newly completed Bachelor Degree in Mechanical Engineering (Max with 3 years from the date of Enrolment)Candidate shall never have any working experience before. The intention of this programme is to expose actual working environment to new graduatesHighly discipline and shall be able to comply with all company rules and regulationsShall treat all company information/modules/computer software which provided during training programme as confidential and solely for learning purpose and strictly not allowed to be published to outsidersTraining time as per company office hours and working daysPart 1 is the pre-requisite of part 2Any leave /absentees shall follow company rules and regulationsThe company will not provide any other benefit except the above stated allowance","'C', 'R'","['Assembly', 'Communication', 'Control System', 'ISO 9001', 'Mechanical Engineering', 'Training']"
Programming & SMT Engineer,NALA EMPLOYMENT SDN BHD,Malaysia,2020-07-29,"ResponsibilityPROGRAMMING-- to prepare, to control and to make programs for SMT machines, including Screen Printers, SPI machine and AOI and ensure compliance of Oven Profiling (Temperature, etc…)-- optimize machine program by arrange multiple feeder and nozzle pickupPREVENTIVE MAINTENANCE-- to perform Preventive Maintenance for all machines and equipments.-- control asset and spare parts inventory to ensure and able to support production plan without any failureCALIBRATION-- to follow up and ensure all machines' and equipments' calibration are correct and up-to-date.-- machine calibration and perform cpk check every 6 month to ensure machine performanceQUALITY & PRODUCTIVITY-- to Trouble-shoot related product and process to ensure quality and productivity-- meet / exceed minimum quarterly and annual goals objectives-- work closely with operational, Back end, process engineering teams, and QC to utilizes relationtship to ensure that product implementation schedule, quality related are met.BOM LIST TALLY CHECK-- to ensure Tally-Check with BOM list to create loading list for material loading check-list.CALIBRATION-- to follow up and ensure all repair machines' and equipments' calibration are correct and up-to-date.CONTINUOUS IMPROVEMENT-- analyis the high reject and study the process improvement to reduce the reject rate.-- to continual evaluate, develop and implement a new FA solution and new FA equipment feasibility study-- maintaining and continue improve of realibility & failureNPI-- quick learning of circuits and troubleshooting principles when the new product introduced.-- work together to study all the problem and issues during the trial runACHIEVING PRODUCTION PLAN-- to be responsible and support production lines for all test boards reject WIP and reduce to a minimum level and solve urgent problems.5S-- to introduce and practice Daily 5S Activity on workstation and repair equpments.Authority--Request quotation from supplier for spare parts--Overtime arrangement for subordinate--Confirm Machine Programming--Judgment & Conclussion for Reject or Scrap PCBA--Approved all the related Check SheetsJob Types: Full-time, ContractSalary: RM9,000.00 - RM13,000.00 per monthExperience:SMT: 3 years (Preferred)engineering: 5 years (Preferred)Language:Chinese (Preferred)Work Remotely:Yes","'C', 'R'","['Analysis', 'Process Engineering', 'Profiling', 'Programming', 'Repair']"
Special Training Programme for New Mechanical Engineering Graduates,RWNA Engineering,Malaysia,2020-07-27,"TRAINING PROGRAMME TITLE:Preparation for Design EngineerPURPOSE OF THE TRAINING PROGRAMME:To provide exposure, experience and specific knowledge to new graduates who does not have working opportunity. Maximum of 2 nos. of candidates will be accepted at one time. Place are limited due to computer software availability.TRAINING DURATION:Part 1: 6 monthPart 2: 6 monthALLOWANCE:Part 1: RM500 per monthPart 2: RM700 per monthTRAINING MODULE PART 1:Familiarisation of drafting with Solidwork softwareFamiliarisation with Computer Aided Manufacturing (CAM) software systemFamiliarisation with conventional and CNC Machines (3 axis milling, lathe, 5 axis machines and turn-mill)Candidate need to attend Final exam/assessment during the final week of the training programmePart 1 certificate will be provided upon successfully complete the training programme part 1TRAINING MODULE PART 2:Pre-requisite need to attend and successfully pass Part 1 training moduleFamiliarisation and utilise gear track software to develop gear systemsTo involve in design new machines and parts guided by RWNA Senior Design SpecialistCandidate need to attend Final exam/assessment during the final week of the training programmeAnother certificate will be provided upon successfully complete the training programme part 2Completion of parts 2 training programme will be considered to be interviewed as Junior Design Engineer at RWNA Engineering Sdn. Bhd., if there is an availability of vacancy position at that timeREQUIREMENTS:Newly completed Bachelor Degree in Mechanical Engineering (Max with 3 years from the date of Enrolment)Candidate shall never have any working experience beforeHighly discipline and shall be able to comply with all company rules and regulationShall treat all company information/modules/computer software which provided during training programme as confidential and solely for learning purpose and strictly not allowed to be published to outsidersTraining time as per company office hours and working daysPart 1 is the pre-requisite of part 2Any leave absentees shall follow company rules and regulationThe company will not provide any other benefit except the above stated allowance","'C', 'R'","['Computer-Aided Manufacturing (CAM)', 'Design', 'Mechanical Engineering', 'Software System', 'Software Tool', 'Training']"
Graphic Designer,Snappymob,Malaysia,2020-07-27,"Betacard doesn’t operate like any normal firm – you take on a key role from the get-go. Rather than being pigeonholed into one thing, you will be working on different aspects of our project. Most importantly, you’ll be integral in launching our flagship product.Our team is lean and our colleagues have been hand-picked for their passion in developing, excellent technical ability and strong ability to collaborate – you WILL be discovering new perspectives and experiences every day. This job posting is part of a collaborative initiative between Snappymob and Betacard.As a Graphic Designer with Betacard, you’ll be honing your skills using familiar software, along with new state-of-the-art tools. While you may not have too many years of experience, you’ll be able to bounce creative UI/UX ideas and collaborate with experienced seniors - to accelerate your learning process and development as a designer.The type of work you will be engaged in ranges from designing core app and web stories, beautiful graphics libraries and cutting-edge UI/UX. As a startup, we expect that problems are solved rapidly and effectively with input from the entire team. We empower our colleagues with a market-competitive salary and flexibility in their time, along with unlimited snacks and coffee in a brand-new office-space in the prime Mid-Valley area. -|- RESPONSIBILITIESWork in a fast-paced and iterative technical environment with technically excellent cross-platform software engineers, and experienced business development and marketing executives.Provide excellent and detailed designs as required from the Mobile and Marketing teams.Communicate design ideas and opinions clearly to managers.REQUIREMENTSBe skilled in Adobe Photoshop and Adobe Illustrator, with the flexibility to learn and use other software such as Sketch.Embody creativity and have a sharp eye for detail.Be a good communicator with a preference of fluent English. Sharing of your thoughts and ideas is crucial.Speed of output is highly valued without sacrificing quality.You would need your own MacBook Pro / equivalent machine for all design work.CONTACTFor further details, please send through your CV.Your email should clearly state your relevant experience, last drawn salary and interview availability. If you have any portfolio or Git projects which you can share and believe would be relevant to this opportunity, please feel free to add as an attachment.","'C', 'Git', 'R'","['Adobe Illustrator', 'Adobe Photoshop', 'Business Development', 'Creativity', 'Email', 'English', 'Git', 'Golang', 'Graphic Design', 'Market', 'Marketing', 'Platform', 'Sketch', 'User Experience (UX)', 'User Interface (UI)']"
SMT & Programming Engineer,Agensi Pekerjaan Nala Sdn Bhd,Malaysia,2020-07-27,"ResponsibilityPROGRAMMING- to prepare, to control and to make programs for SMT machines, including Screen Printers, SPI machine and AOI and ensure compliance of Oven Profiling (Temperature, etc…)- optimize machine program by arrange multiple feeder and nozzle pickupPREVENTIVE MAINTENANCE- to perform Preventive Maintenance for all machines and equipments.- control asset and spare parts inventory to ensure and able to support production plan without any failureCALIBRATION- to follow up and ensure all machines' and equipments' calibration are correct and up-to-date.- machine calibration and perform cpk check every 6 month to ensure machine performanceQUALITY & PRODUCTIVITY- to Trouble-shoot related product and process to ensure quality and productivity- meet / exceed minimum quarterly and annual goals objectives- work closely with operational, Back end, process engineering teams, and QC to utilizes relationtship to ensure that product implementation schedule, quality related are met.BOM LIST TALLY CHECK- to ensure Tally-Check with BOM list to create loading list for material loading check-list.CALIBRATION- to follow up and ensure all repair machines' and equipments' calibration are correct and up-to-date.CONTINUOUS IMPROVEMENT- analyis the high reject and study the process improvement to reduce the reject rate.- to continual evaluate, develop and implement a new FA solution and new FA equipment feasibility study- maintaining and continue improve of realibility & failureNPI- quick learning of circuits and troubleshooting principles when the new product introduced.- work together to study all the problem and issues during the trial runACHIEVING PRODUCTION PLAN- to be responsible and support production lines for all test boards reject WIP and reduce to a minimum level and solve urgent problems.5S- to introduce and practice Daily 5S Activity on workstation and repair equpments.Authority-Request quotation from supplier for spare parts-Overtime arrangement for subordinate-Confirm Machine Programming-Judgment & Conclussion for Reject or Scrap PCBA-Approved all the related Check Sheets","'C', 'R'","['Analysis', 'Process Engineering', 'Profiling', 'R', 'Repair']"
Design Engineering (Floorcare) Internships (Dec to Feb 2021) - Malaysia,Dyson,Malaysia,2020-08-21,"About usResearch, Design and Development (RDD) is Dyson's engine room. It’s where our engineers challenge convention, build, test, fail, refine, and then fail again - all to invent technology that solves problems that others ignore.Join us as an intern and from day one you’ll be assigned to a live project with the chance to have a meaningful impact on the evolution of Dyson technology.About the roleWhether you join us for an Industrial training or a 3 months internship, you’ll be assigned to a project team from day one. You’ll be expected to hit the ground running on one of Dyson’s many live projects in the floorcare category. Working as part of a larger project team, you’ll have your own set of project deliverables and the chance to take ownership of how these are achieved.Some of your tasks could include:Developing mechanical parts, assemblies and systems from concept to productionDeveloping and validating mechanical designs that meet specification requirementsConceptualizing, developing and detailing ideas for future mechanical partsDesigning experiments and necessary rigs/fixtures for component and system characterization and validation.Working with engineers and scientists/technical experts across a broad range of disciplines, you’ll be comfortable learning from others, but also sharing your own knowledge, ideas and opinions. We’ll support you with a development framework designed to help you make the most of your internship.About youDelivering the next generation of Dyson technology is tough, so you’ll need to be:On track for 2nd upper class honours or above and be studying towards a Mechanical, Aerospace, Design Engineering, Mechatronics or related disciplineAble to commit for at least 12 weeks from December to February 2021 and graduating in August 2021Able to evidence how you have applied your technical knowledge to solve problems, either through your internship, university projects or as part of your extra-curricular activitiesHappy to build your own networks to learn from the technical expertise around youCreative in your approach to problem solving to ensure our machines are betterPassionate about Dyson and our technology to help us meet our ambitious future plansAbove all, you’ll want to play a key part in bringing the next generation of Dyson technology to the world.For your application to be considered, you are required to upload the following documents together with your online application:Detailed resume with expected year of graduationUpdated academic transcript / degree auditPlease note that you should only apply to one internship position as multiple applications will delay the selection process. We will consider you for other internship roles should you have the relevant skillset or experience.Shortlisted candidates will undergo our early careers recruitment and selection process which could include digital assessments and on-site assessment centres.BenefitsProfessional growth, leadership development and new opportunities abound, driven by regular reviews and dynamic workshops. And with a vibrant culture, the latest devices and a relaxed dress code reflecting our engineering spirit, it’s an exciting team environment geared to fueling and realizing ambition.Interview guidanceWe are following the government guidelines regarding COVID19. At this time all interviews will be conducted via video or telephone. We’re taking these precautionary measures to protect both our employee and candidate wellbeing. Our Talent Acquisition team will work with you and provide further information as appropriate.Closing date: 27 September 2020","'C', 'R'","['Aerospace', 'Closing', 'Design', 'Engineering', 'Leadership Development', 'Mechatronics', 'Network', 'Play', 'Problem Solving', 'Selection', 'Training', 'Video', 'Web Development Framework']"
Design Engineering (Environment Care & Lighting and Professional) Internships (Dec to Feb 2021) - Malaysia,Dyson,Malaysia,2020-08-21,"About usResearch, Design and Development (RDD) is Dyson's engine room. It’s where our engineers challenge convention, build, test, fail, refine, and then fail again - all to invent technology that solves problems that others ignore.Join us as an intern and from day one you’ll be assigned to a live project with the chance to have a meaningful impact on the evolution of Dyson technology.About the roleWhether you join us for an Industrial training or a 3 months internship, you’ll be assigned to a project team from day one. You’ll be expected to hit the ground running on one of Dyson’s many live projects in the Environmental Care or Lighting and Professional categories. Working as part of a larger project team, you’ll have your own set of project deliverables and the chance to take ownership of how these are achieved.Some of your tasks could include:Developing mechanical parts, assemblies and systems from concept to productionDeveloping and validating mechanical designs that meet specification requirementsConceptualizing, developing and detailing ideas for future mechanical partsDesigning experiments and necessary rigs/fixtures for component and system characterization and validation.Working with engineers and scientists/technical experts across a broad range of disciplines, you’ll be comfortable learning from others, but also sharing your own knowledge, ideas and opinions. We’ll support you with a development framework designed to help you make the most of your internship.About youDelivering the next generation of Dyson technology is tough, so you’ll need to:On track for 2nd upper class honours or above and be studying towards a Mechanical, Aerospace, Design Engineering, Mechatronics or related disciplineAble to commit for at least 12 weeks and graduating in August 2021Able to evidence how you have applied your technical knowledge to solve problems, either through your internship, university projects or as part of your extra-curricular activitiesHappy to build your own networks to learn from the technical expertise around youCreative in your approach to problem solving to ensure our machines are betterPassionate about Dyson and our technology to help us meet our ambitious future plansAbove all, you’ll want to play a key part in bringing the next generation of Dyson technology to the world.For your application to be considered, you are required to upload the following documents together with your online application:Detailed resume with expected year of graduationUpdated academic transcript / degree auditPlease note that you should only apply to one internship position as multiple applications will delay the selection process. We will consider you for other internship roles should you have the relevant skillset or experience.Shortlisted candidates will undergo our early careers recruitment and selection process which could include digital assessments and on-site assessment centres.BenefitsProfessional growth, leadership development and new opportunities abound, driven by regular reviews and dynamic workshops. And with a vibrant culture, the latest devices and a relaxed dress code reflecting our engineering spirit, it’s an exciting team environment geared to fueling and realizing ambition.Interview guidanceWe are following the government guidelines regarding COVID19. At this time all interviews will be conducted via video or telephone. We’re taking these precautionary measures to protect both our employee and candidate wellbeing. Our Talent Acquisition team will work with you and provide further information as appropriate.Closing date: 27 September 2020","'C', 'R'","['Aerospace', 'Closing', 'Design', 'Engineering', 'Leadership Development', 'Mechatronics', 'Network', 'Play', 'Problem Solving', 'Selection', 'Training', 'Video', 'Web Development Framework']"
