title,company,country,date_posted,description,indeed_skills,skills
Engineer Manager,Siam M&M,Thailand,2020-04-10,"Job DescriptionResponsibilities:Handle for Engineering Department and follow all duties determined in Company’s ISO quality manualEstablish and implement policies, procedures, working standards and culture within the departmentCoordinate, collaborate and negotiate to all other department to achieve company goal or any requirement from customerMonitor and optimize all activities under the department’s responsibilities by managing and ensuring that all activities are achieved as planned, scheduled and according to expectationsDeliver strong solutions support & Implementation through effective management of engineering and optimum utilization of resourcesLead and motivate team to work objectively and collaboratively to achieve goalsLead the new product introduction and ensure a correct and efficient flow of technical information & documents from new product transferring, and also ensure all manufacturing process and quality of product meet our customer’s specification and expectation.Liaise with customer [about design, manufacturing. technical issue, clearing any obstacles resolving conflict, clarifying scope, etc.] and communicate with team andensure that the team is able to deal with correctness and productivity to meet planned objectives and client expectationsEnsure that all machine and equipment are utilized at its maximum capability and are installed and maintained properly according to our standardPromote and encourage the participation of all engineering members for the continuous improvement activities such as Yield Improvement, Process Development.Develop and Promote endless learning culture to enhance engineering skill-sets, problem solving and troubleshooting by providing a support such as internal training. external training, etcControl Cost and Budget efficiently and approve for all expendituresSupport ISO9001 activities and ensure that all procedures within the department conform with the ISO standard and documentEnsure that all customer feedbacks and field Information is being communicated back to ManagementAnd other duties and related work assigned from boss or requested from customerRequirements:Thai National, Male / Female, Age over 35 yearsBachelor or Master Degree in Engineering or in related fieldAt least 5-10 years working experience in electronic manufacturing service industry, OptoelectronicStrong management skills, interpersonal problem solving, analytical thinking, problem solving, decision making and team leaderGoal-Oriented with Flexible mind. Continuous LearningGood English language skillsGood PC skills in MS OfficeGood understanding of Thai and international quality standards e.g. IS09001management of production, LATF16949, engineering documentation, Kaizen Quality techniquesAble to understand mechanical drawing/manual and preventive maintenance systemGood communication, negotiation and Interpersonal skills, teamwork ethicsInterested Candidates, please send your full resume in Word format in English along with your recent photo and expected salary to below contact detailsSiam M&M Recruitment Co., Ltd55 Wave Place Building, 17th Floor, Room No. MT18, Wireless Road, Lumpini, Pathumwan Bangkok 10330,Tel. : 02-106-7790www.siammandm.comTag : Engineering Management, Electronic Manufacturing, Manufacturing Management, Electronics, Semiconductor","'C', 'Go', 'R'","['Analytical Thinking', 'Budget', 'Communication', 'Decision Making', 'Design', 'Documentation', 'Electronics', 'Engineering', 'English', 'Management', 'Manufacturing', 'Negotiation', 'Problem Solving', 'Semiconductors', 'Teamwork', 'Training']"
Data Scientist Manager,"Pasona HR Consulting Recruitment (Thailand) Co.,Ltd",Thailand,2020-04-10,"Job ID 12563Occupation Data Scientist ManagerBusiness TradingJob detail • Analyze business pattern and requirement, design and plan data analytics system • Creating business requirement and functional specification documents, conducting the gap analysis, interface mapping. • Propose solutions and strategies to business challenges • Identify valuable data sources and automate collection processes • Build predictive models and machine-learning algorithms • Present information using data visualization techniques • Collaborate with technical engineer and system development teamsSalary 70,000 - 80,000 B (USD)Location BangkokInsuranceIncentivesHolidayRequired work experience • Male / Female Age 35-40 • Bachelor’s Degree or higher in Computer Science and Business Administration, degree in data science is preferred • A minimum of 5 years’ experience in business data analytics and visualizing. • Experience in data mining, RDBMS • Experience using business intelligence tools and data frameworks. • Analytic mind and business acumen • English communication skills with TOEIC score minimum 730 • Ability to handle multiple tasks and work with cross-functional team and work well under pressure","'C', 'R'","['Analysis', 'Business Acumen', 'Business Administration', 'Business Intelligence (BI)', 'Business Intelligence Tool', 'Communication', 'Computer Science', 'Data Analytics', 'Data Mining', 'Data Science', 'Data Visualization', 'Design', 'English', 'Machine Learning Algorithm', 'Mapping', 'Predictive Model', 'Visualization']"
Program Manager,Program Manager,Indonesia,2020-04-10,"Wavemaker Partners is Southeast Asia’s leading early-stage venture capital firm investing in enterprise and deep tech companies.Founded in 2015, Snapcart applies AI to build the richest offline database of users in emerging markets and democratize data capabilities offline. Snapcart enables brands and retailers to measure, target, and optimize advertising and price promotions, (globally a USD 1.7 Trillion spending), helping clients compete in an increasingly data-driven world.Through its receipt crowd-sourcing application, point-of-sale application, and hundreds of machine learning models that process and decipher invoices and receipts, Snapcart collects and processes in real-time, billions of data points at an individual shopper and retailer level. Snapcart is currently providing insights to over 30 companies including LOreal, Nestle, P&G and Unilever in 2 countries (Indonesia and Philippines).What You'll Be DoingOwn the technical roadmap and manage implementation of features/solutions and service deliverablesManage cross-functional projects and features from inception to deliveryTranslate business requirements to technical requirements that can be used by cross functional teamsWork closely with engineering, product management and other departments to deliver projectsBuild strong relationships across all teams and facilitate communication between cross-divisional groupsReport, track and communicate projects status to stakeholdersOversee all aspects of projects including specifications, scope, requirements, timeliness, and resource allocationWho We Are Looking ForAt least 3 years of experience managing multiple technical projectsStrong understanding of product requirements and specification.Excellent written and verbal communication skills so as to communicate with technical and non-technical staffAbility to establish goals and set clear expectations while prioritising activities to ensure successful completion of deliverablesWell versed in development methodologies including agile and scrumHave the composure to function effectively in the face of ambiguityPossess a BSc/BA in Computer Science, Engineering or a related field","'C', 'Excel', 'R'","['Advertising', 'Agile', 'Artificial Intelligence (AI)', 'Computer Science', 'Database', 'Engineering', 'Indonesian', 'Machine Learning', 'Market', 'Nonverbal Communication', 'Product Management', 'Teamwork', 'Venture Capiral', 'Venture Capital (VC)', 'WaveMaker']"
Senior Product Manager,Singtel,Singapore,2020-05-11,"DataSpark was created from a vision to transform Singtel’s rich and unique repository of data into business value and social impact. Our data products and services provide powerful insights and advanced analytics capabilities to businesses, government agencies, and other telecommunication companies. We strive for our analytics to be trustworthy and relevant to our clients while adhering to high standards of data privacy.We are looking for a Senior Product Manager to join us to build robust data platforms and applications that incorporate data science and machine learning algorithms and models to solve problems in telco network management, transportation, urban planning, real time crowd management, and retail intelligence, to name a few. This is a great opportunity to learn all aspects of how to build software products that encompass advanced algorithms and vast volume of fast data.At DataSpark, you get to work with rich and diverse datasets, cutting edge technology, and you get to see the impact of your results in real business and government decisions, which in turn provide positive social benefit for consumers at a large scale. As a start-up that is part of Singtel, DataSpark provides a work environment with spirited trailblazing and industrial countenance. Working alongside creative, energetic and passionate teammates from around the world, you get to be a part of our exciting growth journey as we build the company to the next level.ResponsibilitiesBuild and maintain product roadmap to create value for users and grow the product features, activities include but not limited toEngage regularly with Sales and Delivery teams to understand current and anticipated needs of customers across different geographies and industriesAnalyse product feature requests and uncover deeper customer needs to develop personas and user stories that communicate requirements and shape product developmentPrioritise product features and enhancements balancing customer demand and potential commercial value, with available resourcesDevelop Product Marketing deck for commercial pitchPractice and operate in LEAN Startup methodology - Build, Measure and Learn with Agile product developmentWork closely with Product Team comprising Data Scientists and Engineers to complete the feature user stories and ensure that product release plans are executed efficiently, on time and on budgetOrganise, communicate and coordinate the work to be done by the Product team in each sprint, using Scrum methodologiesReview product features developed against acceptance criteria, and evaluate whether features are ready for releaseHands-on analysing data and methodology with Data Scientist and Data Engineer and determine the appropriate next course of design directionsCollaborate and advise Sales and Delivery teams on product technical information and release plansWork closely with key stakeholders in consulting and service engineering to identify, troubleshoot and find solutions to product implementation obstaclesManage product implementation bugs feedback loopAssist in driving user adoption, build and monitor customer success reporting measurementTrain and working with customers to get product feedback and suggest workaroundsRequirementsBA/BS degree in Computer Science, Software Engineering, Information Systems, or equivalent5+ years of experience in product management, software development, or business analysis for software or analytics productsProven leadership experience in aligning and mobilising team members towards achieving a common goalDemonstrated intuition for understanding customer needs from different perspectives, and ability translate needs into product requirementsMulti-skilled, curious and eager to learn a spectrum of hard and soft skills, including data analytics, software development, design thinking, project management, leadership, communication, market strategyAbility to think strategically (big picture, long term) and tactically (detailed, short term), and to align both perspectivesExcellent organizational skills, and proven ability to analyse, prioritise and align numerous workstreams, customer requests and priorities towards a coherent, elegant solutionDemonstrated clear and thorough logical and analytical thinking, as well as problem solving skillsSuperior and proactive communications skills, including verbal, written, and presentationA proven team player and contributorSelf-directed, ability to work independently and research innovative solutions to business problems","'C', 'Excel', 'R'","['Agile', 'Analytical Thinking', 'Business Analysis', 'Communication', 'Computer Science', 'Consulting', 'Data Analytics', 'Data Privacy Law', 'Data Science', 'Dataset', 'Design', 'Information System', 'Leadership', 'Machine Learning Algorithm', 'Market', 'Methodology', 'Network Management', 'Organizational Skill', 'Platform', 'Presentation', 'Problem Solving', 'Product Development', 'Product Management', 'Product Marketing', 'Product Roadmap', 'Project Management', 'Reporting', 'Research', 'Retail', 'Sales', 'Scrum', 'Software Development', 'Software Engineering', 'Telecommunication', 'Transformer', 'Transportation', 'Urban Planning']"
APJC Competitive Business Development Manager,CISCO SYSTEMS (USA) PTE. LTD.,Singapore,2020-04-24,"Roles & ResponsibilitiesWhat You'll doAs Competitive Business Development Manager, an instrumental individual contributor in Cisco’s Specialist organisation with impact across the all architecture solutions. In this role, you will work to unwind complex competitive problems, gain insight into the opportunities inherent in those problems, recommend a path forward, and drive execution. Projects can include: Influence and formulation of long-term competitive strategic priorities and plans, highlighting key emerging industry trends, Develop competitive market expansion opportunities, Detailed analysis of competitive dynamics and internal business performance improvement. You'll be the specialist in Cisco’s and our competitor’s businesses. You will be a creative leader who helps guide the company’s product portfolio and business strategy for the future. This extends from growing the profitability of existing products, to recognizing opportunities to develop new solutions.Drive competitive interlocks with APJC, segment leadership and across architecture teams.Drive channel competitive strategy by partnering with APJC; regional partner org, regional distribution org and managed service provider org.Drive field and channel investment and pricing decisions for standard and non-standard programs.Build new competitive product offers to drive growth.Build localized offers for country or segment specific initiatives.Drive competitive testing, enablement, and strategy to arm the sales, systems engineering, and partners with the right information at the right time to win.Provide feedback to platform product management groups on market trends and competitive threats.Drive QBR content from GTM perspective.Partner with Product and Solutions Marketing team to map GTM initiatives directly to marketing plan.Lead development of new business models that cut across multiple product groups.Key Responsibilities:StrategyMaintain a strong point of view on strategy to meet customer needs supported by customer data and analyticsLead multiple competitive projects across the organization, as well as provide strategic mentorship to Cisco’s highest levels of leadershipIdentify, analyze customer decision criteria, and present tactical solutions to new customer spending paradigms and consumption modelsBased on customer analysis and overall forward-thinking industry knowledge, extrapolate what trends and solutions will meet medium and long-term solutions and develop top level investment strategies to get thereDrive thought leadership and POV across development teams (Development/Engineering, and Marketing Communications) and inspire change and adoptionDirect the development of new opportunities and lead all aspects of the commercialization of new productsInfluence and drive how products go to market, and develop sales organization strategiesLong Range Strategy & Planning (LRSP) and Strategic Leadership Team (SLT) QBR process managementKey Capabilities Include:10 or more years of technical / commercial experience driving technical product strategies in complex organizationsAble to effectively communicate to executives, engineers, field sales and systems engineering teamsMust be able to demonstrate confidence in architecture, engineering, operations, and security discussionsExpertise in Network Security, and Enterprise technologies including; Cloud as a service models, virtualized technologies to include virtual machines, containers, and their inherent product offerings/challenges/trendsYou have experience in successfully building relationships across engineering, marketing and sales organizations and providing valuable technical / commercially aware input into product developmentCreative and out-of-the-box thinking to drive compelling solutions to problemsDemonstrated ability to identify and evaluate market trends translating them into new opportunities and initiativesAbility to work cross-functionally and communicate effectively with other parts of the businessAbility to understand complex and in-depth level technical situations, related business challenges, and the ability to communicate strategies for effective solutionsTalent DevelopmentDemonstrated Proficiencies Required:Eye For BusinessTechnical AcumenExecutive PresenceStakeholder ManagementTeamworkAction and Results OrientationInnovationConflict Management (includes interpersonal efficiency)Developmental People LeadershipCommunications, Written, Public SpeakingExperience Required:15-20 years business, consulting, sales experience5-7 Years Cisco Systems Engineering or EngineeringIT or Competitive Intelligence ManagementB. S. or B. A, Masters, PreferredWe Are Cisco#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool.[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY][CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]","'C', 'Machine Learning', 'R'","['Architectural Engineering', 'Architecture', 'Artificial Intelligence (AI)', 'Box', 'Business Consulting', 'Business Development', 'Business Model', 'Business Strategy', 'Cluster Analysis', 'Communication', 'Competitive Strategy', 'Conflict Management', 'Creativity', 'Golang', 'Hardware', 'Innovation', 'Investment', 'Leadership', 'Machine Learning', 'Market', 'Marketing', 'Medium', 'Network Security', 'Platform', 'Product Development', 'Product Management', 'Public Speaking', 'Sales', 'Systems Engineering', 'TestNG', 'Testing', 'Translation', 'Virtual Machine']"
Global Account Manager - Country Global Enterprise Model,CISCO SYSTEMS (USA) PTE. LTD.,Singapore,2020-04-17,"Roles & ResponsibilitiesJob Description:The Cisco Global Account Manager (GAM) is Cisco's Global Accounts Customer's single point of accountability. The GAM has Singapore responsibilities for developing and driving a long term elevated and intimate customer relationship, which results in profitable and predictable revenue growth and high customer loyalty.Role:The Global Account Manager has Singapore responsibilities for developing and driving a long term elevated and intimate customer relationship, which results in profitable and predictable revenue growth and high customer loyaltyWork with the Headquarter & Regional Account Team to drive adoption and execution of global/regional strategy.Responsible for the account planning process and execution against the goal and plan.Builds demand creation, sell, delivery and ongoing support plan based on comprehensive understanding of the customer and the industry the customer operates in.Establishes strong relationships within Cisco Global Account community and coordinates Cisco resources locallyThe role requires a highly driven sales representative who is successful at building LoB and senior customer executive relationships and partnering them to drive growth in their business.This position requires a strong aptitude for identifying customer business needs and for building relationships with decision makers and primary influencers in the purchasing decision process.An ability to understand and work with organizations at the local as well as global level is also essential.Skills / Qualification:A minimum of 5 years successful sales experience managing a large strategic account, building and developing sales relationships to a CXO level in a growing business environment such as Cisco or in a previous technology sales organization that included account managers and systems engineers.A strong track record in sales.A solid understanding of direct and indirect global distribution models is essential.Demonstrated knowledge of a process for and success with managing large accounts, including forecasting, quota attainment, sales presentations, short term, mid term, and long term opportunity management.Experienced and successful with a team selling approach across business units is a must, including successfully diagnosing and proactively resolving potential team conflict.Must have the ability to deliver business value to the account and build on key customer relationships.Demonstrate the necessary skills to negotiate issues with peers, partners and customers using a Win/Win philosophy. Position ""end to end"" solutions and articulate Cisco strategies to senior customer executives.Prefer a bachelor's, master's degree or equivalent with a strong technical and business knowledge with complimentary skills to understand the customer’s business drivers and align to Cisco solutionsWe Are Cisco#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool.Interested applicants, please apply for the role on our careers website: https://jobs.cisco.com/jobs/ProjectDetail/Global-Account-Manager/1291716[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY][CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]","'C', 'Machine Learning', 'R'","['Artificial Intelligence (AI)', 'Business Ethics', 'Creatio', 'Creativity', 'Decision Process', 'Forecasting', 'Hardware', 'Innovation', 'Machine Learning', 'Management', 'Network', 'Philosophy', 'Sales Presentation', 'Security']"
Global Account Manager,Cisco Systems,Singapore,2020-04-17,"Job Description:The Cisco Global Account Manager (GAM) is Cisco's Global Accounts Customer's single point of accountability. The GAM has Singapore responsibilities for developing and driving a long term elevated and intimate customer relationship, which results in profitable and predictable revenue growth and high customer loyalty. Role:The Global Account Manager has Singapore responsibilities for developing and driving a long term elevated and intimate customer relationship, which results in profitable and predictable revenue growth and high customer loyaltyWork with the Headquarter & Regional Account Team to drive adoption and execution of global/regional strategy.Responsible for the account planning process and execution against the goal and plan.Builds demand creation, sell, delivery and ongoing support plan based on comprehensive understanding of the customer and the industry the customer operates in.Establishes strong relationships within Cisco Global Account community and coordinates Cisco resources locallyThe role requires a highly driven sales representative who is successful at building LoB and senior customer executive relationships and partnering them to drive growth in their business.This position requires a strong aptitude for identifying customer business needs and for building relationships with decision makers and primary influencers in the purchasing decision process.An ability to understand and work with organizations at the local as well as global level is also essential. Skills / Qualification:A minimum of 5 years successful sales experience managing a large strategic account, building and developing sales relationships to a CXO level in a growing business environment such as Cisco or in a previous technology sales organization that included account managers and systems engineers.A strong track record in sales.A solid understanding of direct and indirect global distribution models is essential.Demonstrated knowledge of a process for and success with managing large accounts, including forecasting, quota attainment, sales presentations, short term, mid term, and long term opportunity management.Experienced and successful with a team selling approach across business units is a must, including successfully diagnosing and proactively resolving potential team conflict.Must have the ability to deliver business value to the account and build on key customer relationships.Demonstrate the necessary skills to negotiate issues with peers, partners and customers using a Win/Win philosophy. Position ""end to end"" solutions and articulate Cisco strategies to senior customer executives.Prefer a bachelor's, master's degree or equivalent with a strong technical and business knowledge with complimentary skills to understand the customer’s business drivers and align to Cisco solutions We Are Cisco#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool.","'C', 'Machine Learning', 'R'","['Artificial Intelligence (AI)', 'Business Ethics', 'Creatio', 'Creativity', 'Decision Process', 'Forecasting', 'Hardware', 'Innovation', 'Machine Learning', 'Management', 'Network', 'Philosophy', 'Sales Presentation', 'Security']"
Manager â€“ Data Engineer,Infocomm Media Development Authority,Singapore,2020-04-29,"â€¢Conceptualise, plan, execute and manage new programs, R&D or initiatives relating to the use of big data to improve cybersecurity for the infocomm and media sectors.â€¢Monitor advancements in big data technologies and identify new tools and frameworks that could improve efficiency and fine tune existing data analytics platforms.â€¢Develop and review data models for cybersecurity projects.â€¢Process, cleanse and verify the suitability of data used for data analytics, as well as interpret and analyse big data sets using statistical techniques.â€¢Identify cybersecurity use cases together with project team and stakeholders, and develop data analytics rules or data models to deliver the use case outcomes.â€¢Conceptualise and manage the development of infrastructure required for optical extraction, transformation, and loading of large volume data from various data sources.â€¢Manage the development of infrastructure required for real-time and batch data ingestion and processing pipelines for data analytics, machine learning, dashboarding and visualisation.â€¢Work with vendors to develop data analytics systems and validate accuracy of data models developed.Conceptualise, architect and initiate greenfield cybersecurity projects, define security architecture for next-generation infocomm technologies, and develop niche cybersecurity tech capabilities for the ICM sectors","'C', 'R'","['Accuracy', 'Architecture', 'Big Data Tool', 'Cybersecurity', 'Data Analytics', 'Interpreter', 'Machine Learning', 'Media', 'Platform', 'Processing', 'Research and Development (R&D)', 'Security', 'Visualization']"
APJC Competitive Business Development Manager,Cisco Systems,Singapore,2020-04-16,"What You'll doAs Competitive Business Development Manager, an instrumental individual contributor in Cisco’s Specialist organisation with impact across the all architecture solutions. In this role, you will work to unwind complex competitive problems, gain insight into the opportunities inherent in those problems, recommend a path forward, and drive execution. Projects can include: Influence and formulation of long-term competitive strategic priorities and plans, highlighting key emerging industry trends, Develop competitive market expansion opportunities, Detailed analysis of competitive dynamics and internal business performance improvement. You'll be the specialist in Cisco’s and our competitor’s businesses. You will be a creative leader who helps guide the company’s product portfolio and business strategy for the future. This extends from growing the profitability of existing products, to recognizing opportunities to develop new solutions.Drive competitive interlocks with APJC, segment leadership and across architecture teams.Drive channel competitive strategy by partnering with APJC; regional partner org, regional distribution org and managed service provider org.Drive field and channel investment and pricing decisions for standard and non-standard programs.Build new competitive product offers to drive growth.Build localized offers for country or segment specific initiatives.Drive competitive testing, enablement, and strategy to arm the sales, systems engineering, and partners with the right information at the right time to win.Provide feedback to platform product management groups on market trends and competitive threats.Drive QBR content from GTM perspective.Partner with Product and Solutions Marketing team to map GTM initiatives directly to marketing plan.Lead development of new business models that cut across multiple product groups. Key Responsibilities:StrategyMaintain a strong point of view on strategy to meet customer needs supported by customer data and analyticsLead multiple competitive projects across the organization, as well as provide strategic mentorship to Cisco’s highest levels of leadershipIdentify, analyze customer decision criteria, and present tactical solutions to new customer spending paradigms and consumption modelsBased on customer analysis and overall forward-thinking industry knowledge, extrapolate what trends and solutions will meet medium and long-term solutions and develop top level investment strategies to get thereDrive thought leadership and POV across development teams (Development/Engineering, and Marketing Communications) and inspire change and adoptionDirect the development of new opportunities and lead all aspects of the commercialization of new productsInfluence and drive how products go to market, and develop sales organization strategiesLong Range Strategy & Planning (LRSP) and Strategic Leadership Team (SLT) QBR process management Key Capabilities Include:10 or more years of technical / commercial experience driving technical product strategies in complex organizationsAble to effectively communicate to executives, engineers, field sales and systems engineering teamsMust be able to demonstrate confidence in architecture, engineering, operations, and security discussionsExpertise in Network Security, and Enterprise technologies including; Cloud as a service models, virtualized technologies to include virtual machines, containers, and their inherent product offerings/challenges/trendsYou have experience in successfully building relationships across engineering, marketing and sales organizations and providing valuable technical / commercially aware input into product developmentCreative and out-of-the-box thinking to drive compelling solutions to problemsDemonstrated ability to identify and evaluate market trends translating them into new opportunities and initiativesAbility to work cross-functionally and communicate effectively with other parts of the businessAbility to understand complex and in-depth level technical situations, related business challenges, and the ability to communicate strategies for effective solutionsTalent Development Demonstrated Proficiencies Required:Eye For BusinessTechnical AcumenExecutive PresenceStakeholder ManagementTeamworkAction and Results OrientationInnovationConflict Management (includes interpersonal efficiency)Developmental People LeadershipCommunications, Written, Public Speaking Experience Required:15-20 years business, consulting, sales experience5-7 Years Cisco Systems Engineering or EngineeringIT or Competitive Intelligence ManagementB. S. or B. A, Masters, Preferred We Are Cisco#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool.","'C', 'Machine Learning', 'R'","['Architectural Engineering', 'Architecture', 'Artificial Intelligence (AI)', 'Box', 'Business Consulting', 'Business Development', 'Business Model', 'Business Strategy', 'Cluster Analysis', 'Communication', 'Competitive Strategy', 'Conflict Management', 'Creativity', 'Golang', 'Hardware', 'Innovation', 'Investment', 'Leadership', 'Machine Learning', 'Market', 'Marketing', 'Medium', 'Network Security', 'Platform', 'Product Development', 'Product Management', 'Public Speaking', 'Sales', 'Systems Engineering', 'TestNG', 'Testing', 'Translation', 'Virtual Machine']"
MRC OPAS Technical Product Manager,Amazon Web Services Singapore,Singapore,2020-04-29,"5+ years of relevant work experience in product management5+ years of relevant work experience in program and project managementBachelor’s Degree in Computer Science, Information Technology, or related field requiredKnowledge of cloud computing and AWS services, especially artificial intelligence and machine learningExperience executing long term strategic roadmaps and handle demanding prioritiesAbility to conceptualize, scope and execute projects to strict deadlines.Exceptional written, verbal, and interpersonal communication skillsAbility to work in a highly ambiguous environmentExperience in gathering data, analysis and presentation (written and oral)Ability to think logically and structure answersProven success managing time and juggling multiple projects in a high growth environment where priorities shift fastAttention to detailGreat organizational skillsAmazon Web Services (AWS) is a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of enterprise, government and start-up business and organizations globally.The AWS Marketing Response Center (MRC) team is seeking an exceptionally bright, creative, multitasking and self-motivated individual to join the MRC global team.MRC is an important customer engagement arm in the Marketing organization. Our mission is to learn from customers, understand their needs, and educate them about the benefits of AWS and all the services we offer, in order to help them embark on their cloud journey quickly and easily. It is a critical function within the lead and demand generation process, with the objective to profile, nurture, and qualify marketing leads generated from various marketing events, campaigns, and activities.MRC OPAS owns Operation, Planning, Analysis and Scale for MRC team globally. MRC OPAS drives operations and planning, conducts business analysis, and reports on programs. OPAS also drives non-linear scale and enablement programs for high performing MRC teams around the world, with the objective of increasing the quality of inbound leads through targeted profiling and lead nurturing activities. MRC OPAS also creates and executes projects to drive strategic focus area to achieve non-liner business growth.MRC OPAS is running a strategic project which leverages artificial intelligence and machine learning (AI/ML) services to transform the traditional customer engagement landscape into a personalized experience that makes it easy to onboard prospects and customers onto the AWS Cloud. MRC OPAS is seeking a talented, self-directed Technical Product Manager to drive the integration and deployment of AI/ML technology used for MRC activities.This role will be responsible for driving the roadmap, defining product requirements, collaborating with engineering and tirelessly championing the needs of customers whom MRC Reps engaged with. Given the breadth of the platform we are building, this role will require coordination across many internal and external teams. You’ll work with customers, partners, and operational stakeholders to prioritize roadmap features, and spearhead the definition of new capabilities through expertly crafted narratives and business requirements documents.The ideal candidate will have exceptional problem solving skills, strong business judgment, and demonstrated experience leading cross-functional teams. We are looking for someone with a proven ability to execute both strategically and tactically, and who is excited to take on a new, ambiguous project that will be industry defining. A technical background is required to be able to effectively communicate and work with engineers.Responsibilities for this position include:Creating the product strategy for the new platform that appeals to unique needs and requirements of MRC teamsManaging the entire product life-cycle from strategic planning to tactical executionOwning product strategy and roadmap for MRC platform and working with key stakeholders to deliver on MRC visionAuthoring product requirements documentsResearch and identify new opportunities for AWS to innovate on behalf of our customersBeing customer obsessed to ensure the safety and security of customer data and informationDeploy technologies and processes to increase efficiency and effectiveness of MRC team.Measure and report on the effectiveness of enablement investments and programs, including sharing insights with relevant stakeholders.Lead and manage strategic projects which contribute to MRC business growth.Experience with marketing technology products a plusExperience in B2B, high-tech products/services preferredHas AWS SA Professional certificationConfident, self-motivated individual with strong, demonstrable bias for action.Post-graduate education / Masters level qualification (MBA from top tier school is a plus)Ability to handle confidential information with discretion, and deal with professionals inside and outside the company","'AWS', 'C', 'R'","['Amazon Web Service (AWS)', 'Artificial Intelligence (AI)', 'Business Analysis', 'Cloud Computing', 'Collaboration', 'Communication', 'Computer Science', 'Data Analysis', 'Engineering', 'Information Technology (IT)', 'Investment', 'Linker', 'Machine Learning', 'Marketing', 'Objective-C', 'Organizational Skill', 'Platform', 'Presentation', 'Problem Solving', 'Product Management', 'Profiling', 'Project Management', 'Security', 'Strategic Planning', 'Transformer']"
