,Skill,Count,Percent
777,Leadership,1854,35.27
275,Communication,1849,35.18
1434,Training,1829,34.8
424,Design,1624,30.9
1108,Project Management,1308,24.89
60,Analytical,1305,24.83
505,Engineering,1238,23.55
171,Budget,1234,23.48
829,Market,1233,23.46
1236,Sales,1172,22.3
817,Management,1142,21.73
1198,Reporting,1027,19.54
267,Collaboration,953,18.13
706,Innovation,948,18.04
1046,Platform,945,17.98
1080,Problem Solving,938,17.85
1068,Presentation,905,17.22
773,Law,837,15.92
451,Documentation,802,15.26
57,Analysis,800,15.22
295,Computer Science,761,14.48
1268,Security,760,14.46
835,Marketing,752,14.31
1411,TestNG,748,14.23
359,Customer Service,726,13.81
19,Administration,712,13.55
879,Microsoft Excel,708,13.47
700,Information Technology (IT),705,13.41
1202,Research,702,13.36
876,Microsoft Access,677,12.88
1412,Testing,659,12.54
711,Insurance,659,12.54
1530,Written Communication,633,12.04
926,Network,626,11.91
318,Construction,626,11.91
111,Audit,608,11.57
1529,Writing,579,11.02
508,English,577,10.98
167,Brand Management,575,10.94
1093,Product Management,560,10.65
412,Decision Making,550,10.46
806,Machine Learning,543,10.33
824,Manufacturing,537,10.22
1249,Scheduling,520,9.89
36,Agile,516,9.82
95,Architecture,511,9.72
556,Finance,499,9.49
490,Email,480,9.13
653,Human Resource (HR),471,8.96
449,Division,446,8.49
259,Coaching,445,8.47
925,Negotiation,443,8.43
1086,Processing,442,8.41
1394,Teamwork,433,8.24
735,Interpreter,429,8.16
1089,Product Development,421,8.01
184,Business Development,414,7.88
489,Electronics,391,7.44
952,Nonverbal Communication,390,7.42
16,Ad Design,388,7.38
881,Microsoft Office,383,7.29
14,Accuracy,380,7.23
614,Golang,376,7.15
1179,Recruiting,376,7.15
1271,Selection,375,7.13
357,Customer Experience,366,6.96
991,Organizational Skill,365,6.94
120,Automation,364,6.93
180,Business Analysis,361,6.87
637,Hardware,357,6.79
1208,Retail,357,6.79
399,Database,355,6.75
349,Creatio,354,6.74
99,Artificial Intelligence (AI),349,6.64
738,Investment,348,6.62
10,Accounting,346,6.58
321,Consulting,345,6.56
1142,Quality Assurance (QA),343,6.53
643,Healthcare,343,6.53
886,Microsoft PowerPoint,338,6.43
369,Data Analysis,337,6.41
1433,Trade,327,6.22
1048,Play,299,5.69
1425,Time Management,296,5.63
1439,Transportation,295,5.61
204,C,292,5.56
670,IT Operations,290,5.52
649,History,283,5.38
801,Logistics,275,5.23
1365,Subject Matter Expert (SME),274,5.21
389,Data Science,272,5.18
1313,Software Engineering,265,5.04
1113,Property,259,4.93
1214,Risk Management,257,4.89
196,Business Process,256,4.87
1088,Procurement,254,4.83
228,Change Management,246,4.68
1461,User Experience (UX),246,4.68
1244,Saving,245,4.66
370,Data Analytics,242,4.6
1143,Quality Control,241,4.59
1436,Transformer,240,4.57
350,Creativity,238,4.53
940,Networking,234,4.45
246,Closing,232,4.41
1195,Repair,230,4.38
1095,Product Roadmap,228,4.34
577,Forecasting,224,4.26
472,Economics,214,4.07
988,Oral Communication,213,4.05
884,Microsoft Outlook,212,4.03
874,Microsoft,203,3.86
1073,Privacy,198,3.77
728,Internet,197,3.75
1383,Table,197,3.75
1353,Statistics,196,3.73
377,Data Management,192,3.65
1480,Video,192,3.65
1152,R,191,3.63
1259,Scrum,191,3.63
283,Complexity,190,3.61
242,Classification,186,3.54
1396,Technical Support,184,3.5
476,Effective Communication,183,3.48
1537,eCommerce,182,3.46
195,Business Plan,182,3.46
1161,Rally,181,3.44
903,Modelling,179,3.41
775,LeSS,178,3.39
1017,Performance Management,176,3.35
851,Mathematics,174,3.31
1359,Strategic Planning,174,3.31
779,Lean Software Development,173,3.29
1102,Programming,173,3.29
868,Methodology,172,3.27
1457,Urban Engineering,171,3.25
240,Civil Engineering,170,3.23
1519,Windows,170,3.23
358,Customer Relationship Management (CRM),168,3.2
861,Medium,168,3.2
857,Media,167,3.18
1094,Product Marketing,163,3.1
1145,Quality Management,163,3.1
178,Business Acumen,163,3.1
1309,Software Development,162,3.08
963,Objective-C,161,3.06
188,Business Intelligence (BI),161,3.06
698,Information System,160,3.04
179,Business Administration,159,3.03
530,Ethics,159,3.03
651,Hospitality,159,3.03
854,Mechanical Engineering,159,3.03
1276,Sentry,159,3.03
976,Operating System,158,3.01
314,Configuration,152,2.89
1203,Research and Development (R&D),151,2.87
353,Critical Thinking,149,2.83
1437,Translation,147,2.8
1176,Recommendations AI,146,2.78
105,Asset Management,146,2.78
121,Automotive,141,2.68
1120,Protocol,141,2.68
367,Dashboard,140,2.66
1364,Structured Query Language (SQL),138,2.63
233,Chemical,138,2.63
245,Client Relations,138,2.63
479,Electrical Engineering,137,2.61
144,Big Data,137,2.61
132,Banking,136,2.59
1443,Twitter,135,2.57
1465,Utility,134,2.55
201,Business Strategy,134,2.55
486,Electronic Engineering,133,2.53
1379,Systems Engineering,132,2.51
1264,Searching,132,2.51
543,Facebook,132,2.51
1227,SAP,131,2.49
565,Financial Services,129,2.45
626,Gradle,128,2.44
29,Advertising,128,2.44
1325,Software Tool,127,2.42
1392,Team Building,126,2.4
1170,Real Estate,121,2.3
513,Entertainment,120,2.28
1341,Sports,118,2.25
1326,Software as a Service (SaaS),118,2.25
944,News,117,2.23
1109,Project Planning,117,2.23
211,Calendar,115,2.19
361,Cybersecurity,115,2.19
432,Development Tools,115,2.19
1496,Visualization,115,2.19
49,Algorithm,113,2.15
192,Business Management,112,2.13
104,Assembly,108,2.05
510,Enterprise Resource Planning (ERP),107,2.04
831,Market Research,105,2
194,Business Operations,105,2
1188,Reinforcement Learning,105,2
526,Equity,105,2
1219,Root Cause Analysis,104,1.98
1292,Social Media,104,1.98
116,AutoCAD,103,1.96
1241,Salesforce,103,1.96
39,Agile Software Development,103,1.96
1463,User Interface (UI),103,1.96
165,Box,103,1.96
1018,Performance Review,102,1.94
54,Amazon S3,102,1.94
827,Mapping,100,1.9
842,Marketing Research,100,1.9
291,Computer Engineering,100,1.9
278,Competition,99,1.88
788,LinkedIn,98,1.86
752,Jira,98,1.86
1373,Sustainability,98,1.86
1469,Variable,97,1.85
1304,Software Application,97,1.85
337,Control System,96,1.83
262,Coding,96,1.83
498,Empathy,96,1.83
511,Enterprise Software,95,1.81
1311,Software Development Life Cycle (SDLC),95,1.81
0,.NET Framework,95,1.81
1399,Telecommunication,94,1.79
230,Chart,94,1.79
978,Operations Management,94,1.79
892,Microsoft Word,93,1.77
32,Aerospace,88,1.67
1323,Software System,87,1.66
55,Amazon Web Service (AWS),87,1.66
306,Computing,87,1.66
1526,Workday,87,1.66
252,Cloud Service,86,1.64
1032,Philosophy,86,1.64
1404,Template,85,1.62
97,Array,84,1.6
1054,Population,84,1.6
674,Imagine,82,1.56
1015,Perceptron,82,1.56
672,Image,82,1.56
193,Business Model,82,1.56
559,Financial Management,82,1.56
1497,Vmware,82,1.56
448,Distributed System,81,1.54
1136,Python,81,1.54
866,Metals,80,1.52
250,Cloud Computing,80,1.52
499,Employee Development,79,1.5
1020,Peripheral,79,1.5
877,Microsoft Azure,78,1.48
783,Life Science,78,1.48
236,Chemistry,78,1.48
710,Instrumentation,77,1.46
809,Machinery,77,1.46
1057,Poster,76,1.45
94,Architectural Engineering,75,1.43
1097,Production Process,75,1.43
1501,Wage,74,1.41
1239,Sales Operations,74,1.41
1090,Product Knowledge,73,1.39
935,Network Security,73,1.39
507,Engineering Technology,72,1.37
1279,Service Management,72,1.37
697,Information Security,71,1.35
1274,Semiconductors,71,1.35
825,Manufacturing Engineering,71,1.35
680,Indonesian,71,1.35
397,Data Visualization,70,1.33
1204,Resource Management,69,1.31
1168,React,68,1.29
1130,Public Relations (PR),68,1.29
1144,Quality Engineering,67,1.27
440,Digital Marketing,67,1.27
418,Delegation,66,1.26
1299,Social Work,65,1.24
428,DevOps,64,1.22
684,Industrial Engineering,63,1.2
319,Construction Engineering,63,1.2
280,Compiler,62,1.18
1103,Programming Language,62,1.18
408,Dataset,62,1.18
797,Logic,62,1.18
583,Forth,60,1.14
985,Oracle,60,1.14
1083,Process Engineering,60,1.14
1173,Reasoning,59,1.12
569,Firewall,59,1.12
381,Data Mining,59,1.12
81,Apache Spark,59,1.12
85,Application Programming Interface (API),59,1.12
1201,Requirements Gathering,58,1.1
159,Blogging,58,1.1
17,Adaptability,58,1.1
1511,Web Design,57,1.08
993,Outreach,57,1.08
1121,Prototyping,56,1.07
821,Management Information System (MIS),56,1.07
1349,Statistical Analysis,55,1.05
382,Data Modelling,55,1.05
1520,Wireframes,55,1.05
244,Clear Communication,55,1.05
895,Mining,54,1.03
701,Information Threat,54,1.03
145,Big Data Analysis,54,1.03
5,A/B Testing,54,1.03
1447,UX Design,54,1.03
1117,Property Management Software,54,1.03
566,Financial Statement,53,1.01
1041,Physics,53,1.01
1397,Technical Writing,52,0.99
1221,Router,52,0.99
610,German,52,0.99
417,Deep Learning,52,0.99
860,Medicine,51,0.97
734,Internet of Things (IoT),51,0.97
1489,Virtualization,51,0.97
125,Aviation,51,0.97
62,Analytical Thinking,50,0.95
1213,Risk Analysis,50,0.95
374,Data Engineering,50,0.95
606,Geology,49,0.93
187,Business Ethics,49,0.93
715,Intellectual Property (IP),49,0.93
542,Fabrication,48,0.91
261,Code Review,48,0.91
587,Front End,48,0.91
146,Big Data Analytics,48,0.91
315,Configuration Management,48,0.91
317,Confluence,48,0.91
109,Audio,48,0.91
746,Java,47,0.89
1217,Robotics,47,0.89
745,Japanese,47,0.89
1240,Sales Presentation,47,0.89
1482,Vietnamese,47,0.89
152,Biology,47,0.89
677,Incident Management,47,0.89
1384,Tableau,46,0.88
1368,Supply Chain Management,46,0.88
168,Branding,46,0.88
143,Benchmarking,46,0.88
885,Microsoft Power BI,45,0.86
732,Internet Protocol (IP),45,0.86
709,Instagram,45,0.86
826,Manufacturing Operations,45,0.86
778,Leadership Development,45,0.86
820,Management Consulting,45,0.86
694,Information Management,45,0.86
654,Human Resource Management,45,0.86
1187,Rehabilitation,44,0.84
527,Ergonomics,44,0.84
1541,jQuery,44,0.84
1472,Velocity,44,0.84
325,Contact Manager,44,0.84
1335,Spanish,44,0.84
830,Market Analysis,44,0.84
1460,Usability Engineering,44,0.84
1369,Supply Chain Risk Management,44,0.84
757,Kanban,43,0.82
234,Chemical Engineering,43,0.82
984,Optics,43,0.82
1298,Social Security,43,0.82
790,Links,43,0.82
1308,Software Design,43,0.82
1127,Public Health,42,0.8
1351,Statistical Model,42,0.8
609,Geotechnical Engineering,42,0.8
1062,Pragmatics,42,0.8
1238,Sales Management,42,0.8
947,Nice,41,0.78
166,Brainstorming,41,0.78
181,Business Analytics,41,0.78
1133,Publishing,41,0.78
391,Data Security,41,0.78
442,Digital Media,40,0.76
