index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total,domain
Sales,87,159,1049,59,646,529,13,4,2546,Business
Communication,78,150,808,48,558,475,5,9,2131,Business
English,69,138,747,45,508,407,10,8,1932,Others
Management,63,144,742,39,475,360,10,6,1839,Business
Training,39,88,583,45,340,287,10,2,1394,Business
Marketing,37,87,547,29,310,278,6,3,1297,Business
Design,36,82,478,24,312,242,2,1,1177,Others
Documentation,37,64,390,24,244,208,5,3,975,Business
Engineering,41,76,379,22,226,187,5,2,938,Others
Reporting,31,60,318,31,206,212,1,1,860,Business
Manufacturing,27,64,337,22,228,172,6,,856,Business
Repair,35,55,284,16,174,153,4,,721,Others
Customer Service,24,45,288,21,189,137,4,1,709,Business
Email,24,50,274,10,191,139,4,4,696,Business
Construction,27,48,264,16,156,136,2,3,652,Business
Security,15,41,252,23,156,139,2,2,630,Information Technology (IT)
Analytical,22,35,246,17,156,148,1,3,628,Business
Budget,26,33,230,11,162,155,1,3,621,Business
Accounting,23,38,267,7,142,139,2,3,621,Business
Testing,28,38,263,10,167,108,5,1,620,Computer Science
Administration,19,44,240,16,152,115,5,1,592,Business
Presentation,15,35,249,11,152,126,,1,589,Business
Finance,22,31,244,18,126,137,,2,580,Business
Research,11,41,219,7,161,122,3,7,571,Business
Processing,15,40,238,13,151,110,2,,569,Business
Audit,23,30,224,14,142,134,2,,569,Business
Social Media,20,33,226,8,113,113,2,5,520,Others
Video,17,33,178,21,104,104,1,1,459,Others
Computer Science,16,27,195,10,119,90,,1,458,Computer Science
Writing,28,39,184,8,99,91,2,3,454,Business
Database,16,25,191,12,106,84,1,3,438,Computer Science
Market,13,33,180,4,110,87,2,4,433,Business
Electronics,9,27,172,10,114,98,,1,431,Others
Machinery,13,40,176,12,93,90,1,2,427,Others
Leadership,15,30,182,7,114,76,1,1,426,Business
Platform,15,32,167,12,94,102,3,,425,Computer Science
Excel,17,24,163,5,87,75,1,1,373,Business
Network,11,20,147,6,94,66,1,2,347,Information Technology (IT)
Problem Solving,15,22,130,7,97,67,,,338,Business
Banking,15,28,132,6,76,61,,,318,Business
Logistics,6,26,126,8,80,72,,,318,Business
Negotiation,12,14,104,4,82,86,2,,304,Business
Accuracy,7,17,112,7,101,56,2,,302,Business
Advertising,11,17,130,4,62,59,1,2,286,Business
Property,10,20,99,13,69,70,,,281,Business
Business Development,9,15,112,6,75,60,1,1,279,Business
Metals,11,17,108,3,77,57,1,1,275,Others
Image,12,16,110,13,78,46,,,275,Others
Production Process,13,10,132,7,60,50,,,272,Business
Distribution,8,14,109,2,69,65,,,267,Data Science
Collaboration,12,12,121,7,61,37,1,1,252,Business
Law,10,14,82,11,70,63,1,,251,Others
Malay,10,19,85,9,61,61,3,2,250,Others
Insurance,8,11,96,4,62,63,4,1,249,Business
Retail,12,14,97,5,68,53,,,249,Business
Automation,10,20,113,7,50,42,2,2,246,Information Technology (IT)
Graphic Design,11,10,101,13,51,58,,1,245,Others
Media,8,12,91,11,69,49,3,,243,Others
Ad Design,4,19,104,9,61,43,3,,243,Others
Microsoft Office,13,19,90,2,59,53,1,1,238,Business
Culture,11,22,103,3,41,54,,1,235,Others
Accountancy,9,17,101,10,58,39,,,234,Business
Quality Control,8,21,99,3,64,38,,,233,Business
AutoCAD,7,17,98,4,54,49,1,,230,Others
Scheduling,8,13,102,4,59,40,3,,229,Business
Brand Management,10,16,81,3,59,55,,,224,Business
Human Resources (HR),8,16,89,7,62,40,1,,223,Business
Hardware,6,14,94,6,40,59,2,,221,Computer Science
Quality Assurance,8,13,95,6,45,46,,1,214,Business
Project Management,5,18,84,8,50,47,,2,214,Business
Operating System,12,15,86,7,54,38,,,212,Computer Science
Compiler,7,13,84,5,58,43,,1,211,Computer Science
Translation,8,13,81,7,48,47,,,204,Others
Transportation,8,17,83,2,53,37,1,,201,Business
Assembly,9,16,72,7,50,44,1,1,200,Computer Science
Facebook,3,11,93,3,47,38,4,1,200,Others
Sorting,5,14,72,3,59,45,1,1,200,Computer Science
Innovation,10,14,85,2,38,50,1,,200,Business
D,5,10,84,1,52,43,2,1,198,Computer Science
Chemical,7,10,74,1,57,45,1,1,196,Others
Architecture,9,8,94,3,45,32,2,1,194,Others
Configuration,4,9,86,2,49,42,1,,193,Computer Science
Coding,6,12,75,2,56,40,,,191,Computer Science
Selection,3,20,69,5,55,37,1,,190,Computer Science
Unemployment,5,13,73,8,52,39,,,190,Others
Physical,5,15,73,7,46,41,1,1,189,Others
IT Operations,10,13,90,4,44,27,,1,189,Information Technology (IT)
Closing,10,7,83,7,41,37,,1,186,Business
eCommerce,5,15,72,6,43,43,,1,185,Business
Digital Marketing,9,10,73,5,40,45,,,182,Business
Coaching,6,14,66,6,48,39,2,1,182,Others
Internet,8,9,91,1,48,20,,3,180,Information Technology (IT)
Time Management,6,17,75,2,52,25,,,177,Business
Expectations,3,6,66,3,47,50,1,1,177,Others
Technical Support,1,18,66,3,47,38,2,1,176,Information Technology (IT)
Profit,8,13,60,5,48,40,1,,175,Others
Microsoft,6,16,76,2,30,44,1,,175,Business
Mechanical Engineering,8,15,73,2,39,37,,,174,Others
Procurement,4,14,61,5,51,37,,1,173,Business
Programming,6,14,70,9,39,30,,1,169,Business
Cooking,6,8,57,1,61,32,1,1,167,Others
Creatio,7,12,66,3,38,41,,,167,Information Technology (IT)
JavaScript,4,7,65,5,44,38,1,1,165,Computer Science
Marketing Research,8,8,70,2,43,32,,,163,Business
Teamwork,5,14,64,4,37,39,,,163,Business
Financial Statement,10,4,64,5,40,38,2,,163,Business
Windows,8,12,67,3,34,35,,1,160,Computer Science
Healthcare,6,11,67,2,43,26,1,1,157,Others
Product Development,1,8,67,2,38,41,,,157,Business
Nonverbal Communication,6,8,74,4,39,25,1,,157,Business
Ada,11,15,49,,44,32,2,2,155,Computer Science
Investment,5,4,77,3,35,27,,,151,Business
Welding,11,13,63,3,35,24,2,,151,Others
Market Research,8,7,63,2,39,30,,,149,Business
IPython,2,9,57,4,41,36,,,149,Computer Science
Fabrication,6,13,57,2,43,25,2,,148,Business
Electronic Engineering,2,10,57,2,32,41,1,1,146,Others
Creativity,2,12,63,2,34,30,,2,145,Others
Agile,3,11,69,3,32,24,1,1,144,Business
SAP,3,5,59,6,37,26,2,,138,Computer Science
Editing,7,10,49,4,42,25,,1,138,Business
Forecasting,5,5,51,2,45,28,1,,137,Business
Lean Software Development,7,5,59,2,32,30,1,,136,Computer Science
B,8,9,55,1,37,26,,,136,Computer Science
Consulting,2,7,61,5,37,18,1,1,132,Business
Accounts Payable,5,5,54,3,29,36,,,132,Business
Statistics,5,5,47,5,32,36,,,130,Data Science
Interpreter,6,6,62,1,32,21,,,128,Computer Science
Business Plan,6,6,49,1,34,31,1,,128,Business
Business Process,3,7,60,6,26,23,,,125,Business
Instagram,1,6,65,3,29,20,,,124,Others
Plastics,1,8,53,4,38,18,2,,124,Others
Account Receivable,3,9,53,3,28,26,,,122,Business
Networking,2,9,54,,31,23,2,,121,Business
Risk Management,3,10,49,5,22,32,,,121,Business
RStudio,4,6,52,4,28,25,,,119,Computer Science
Photography,6,5,53,1,24,25,3,1,118,Business
Agile Software Development,6,5,62,2,21,20,,,116,Computer Science
Router,7,7,44,3,28,27,,,116,Information Technology (IT)
Addition,4,4,60,3,27,16,1,,115,Others
Business Administration,4,9,41,2,29,30,,,115,Business
Trade,4,4,51,2,25,26,1,,113,Business
MySQL,1,4,45,3,31,29,,,113,Computer Science
Decision Making,3,6,46,,33,22,1,1,112,Business
Electrical Engineering,2,13,46,1,18,31,,,111,Others
Hospitality,9,7,51,4,22,15,1,,109,Business
Balance Sheet,6,8,40,3,25,25,,,107,Business
PowerPoint,8,9,38,1,28,22,,1,107,Business
Software Engineering,3,5,42,5,24,27,,,106,Computer Science
User Experience (UX),5,4,46,2,21,28,,,106,Others
Box,,3,55,3,20,22,,,103,Information Technology (IT)
Quality Management,4,7,41,2,31,18,,,103,Business
C,5,4,40,2,31,19,,,101,Computer Science
Effective Communication,5,9,44,2,28,13,,,101,Business
Publishing,3,6,32,7,29,23,,,100,Business
Oracle,2,6,50,3,15,23,,,99,Computer Science
Dashboard,6,9,38,1,21,20,1,,96,Data Science
Java,4,7,53,3,16,11,2,,96,Computer Science
Microsoft Excel,3,5,35,6,28,18,,,95,Business
Saving,5,6,39,,26,18,1,,95,Others
Adobe Photoshop,,5,41,5,17,26,,,94,Others
Objective-C,4,2,38,1,28,19,2,,94,Computer Science
Software Development Kit (SDK),5,5,43,1,21,18,,,93,Computer Science
Microsoft Office 365,4,3,34,1,28,22,,,92,Information Technology (IT)
Protocol,4,5,37,2,30,14,,,92,Information Technology (IT)
Linux,1,5,40,3,19,23,,,91,Computer Science
Accounting Software,1,5,39,4,21,20,1,,91,Business
Office Administration,1,8,36,2,25,17,1,,90,Business
Critical Thinking,1,6,39,3,22,17,1,,89,Business
Perceptron,6,9,39,2,15,17,,,88,Data Science
Human Resource Management,4,8,35,2,31,7,1,,88,Business
Software Tool,2,6,33,3,20,22,,1,87,Computer Science
Methodology,5,7,29,6,21,18,1,,87,Business
PHP,2,5,30,2,28,19,,,86,Computer Science
Programming Language,1,2,28,1,28,26,,,86,Computer Science
Business Operations,3,8,32,1,27,13,1,,85,Business
Medium,,5,40,2,20,16,,,83,Business
Telemarketing,3,5,33,2,21,19,,,83,Business
Searching,4,7,30,,25,17,,,83,Computer Science
Organizational Skill,2,1,36,1,18,23,,1,82,Business
Research and Development (R&D),1,3,36,2,23,16,1,,82,Business
C#,2,8,35,2,17,18,,,82,Computer Science
Business Analysis,5,3,39,3,18,12,,,80,Business
Management Accounting,4,5,32,5,26,8,,,80,Business
Biology,,3,34,4,24,15,,,80,Others
Mathematics,2,4,34,3,15,20,,,78,Others
Economics,,4,32,1,18,23,,,78,Others
Civil Engineering,1,5,43,1,11,16,,,77,Others
Customer Service System,,2,37,2,18,17,,1,77,Business
Sports,7,3,24,2,21,20,,,77,Others
Mechatronics,2,7,37,1,12,16,1,,76,Others
Chart,,6,26,1,19,22,1,1,76,Business
Kubernetes,2,4,33,2,16,16,1,1,75,Information Technology (IT)
Recruiting,1,6,29,1,27,10,1,,75,Business
Customer Experience,3,3,25,,21,23,,,75,Business
Web Application,1,3,28,3,24,15,,,74,Computer Science
Social Media Platform,3,4,32,1,24,10,,,74,Others
Azure,3,8,28,2,14,18,,,73,Information Technology (IT)
Machining,4,6,23,1,24,14,,,72,Others
History,4,6,30,,22,10,,,72,Others
