index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total
Service,110.0,231.0,1406.0,90.0,878.0,720.0,15.0,18.0,3468.0
Product,114.0,220.0,1417.0,64.0,928.0,660.0,14.0,9.0,3426.0
Management,108.0,240.0,1326.0,76.0,846.0,652.0,11.0,9.0,3268.0
Sales,87.0,162.0,1070.0,61.0,664.0,538.0,14.0,4.0,2600.0
Operations,100.0,192.0,1019.0,55.0,653.0,508.0,8.0,9.0,2544.0
Support,91.0,174.0,1025.0,65.0,632.0,525.0,13.0,5.0,2530.0
Business,104.0,167.0,991.0,62.0,622.0,524.0,9.0,5.0,2484.0
Communication,91.0,173.0,951.0,53.0,638.0,530.0,6.0,9.0,2451.0
Production,85.0,148.0,789.0,40.0,488.0,368.0,9.0,8.0,1935.0
English,69.0,138.0,747.0,45.0,508.0,407.0,10.0,8.0,1932.0
Data,61.0,111.0,792.0,53.0,462.0,409.0,10.0,3.0,1901.0
Process,61.0,127.0,802.0,51.0,438.0,404.0,9.0,2.0,1894.0
Development,60.0,124.0,778.0,41.0,466.0,384.0,10.0,4.0,1867.0
Marketing,60.0,115.0,719.0,35.0,429.0,369.0,8.0,3.0,1738.0
Design,51.0,116.0,714.0,42.0,435.0,368.0,6.0,2.0,1734.0
Engineering,64.0,130.0,668.0,37.0,378.0,327.0,7.0,3.0,1614.0
Training,39.0,88.0,588.0,45.0,341.0,287.0,10.0,2.0,1400.0
Food,37.0,95.0,549.0,32.0,367.0,282.0,9.0,3.0,1374.0
Executive,55.0,93.0,582.0,26.0,350.0,256.0,3.0,1.0,1366.0
Make,51.0,61.0,496.0,37.0,330.0,236.0,5.0,3.0,1219.0
Planning,44.0,96.0,483.0,20.0,295.0,226.0,7.0,1.0,1172.0
Application,28.0,65.0,479.0,25.0,259.0,212.0,6.0,3.0,1077.0
Market,34.0,74.0,443.0,14.0,267.0,204.0,3.0,5.0,1044.0
Documentation,39.0,68.0,409.0,25.0,250.0,215.0,6.0,3.0,1015.0
