,Skill,Domain,Sub-Domain
0,Journalism,arts-and-humanities,history
1,Content Marketing,arts-and-humanities,history
2,Storytelling,arts-and-humanities,history
3,Advertising,arts-and-humanities,history
4,Marketing,arts-and-humanities,history
5,Brand,arts-and-humanities,history
6,Gamification,arts-and-humanities,history
7,Audience,arts-and-humanities,history
8,Newspaper,arts-and-humanities,history
9,Branded Content,arts-and-humanities,history
10,Graphic Design,arts-and-humanities,history
11,Computer Graphics,arts-and-humanities,history
12,I-Deas,arts-and-humanities,history
13,Graphic Arts,arts-and-humanities,history
14,History,arts-and-humanities,history
15,Analysis,arts-and-humanities,history
16,Art History,arts-and-humanities,history
17,Art,arts-and-humanities,history
18,Design Analysis,arts-and-humanities,history
19,Typography,arts-and-humanities,history
20,White Spaces (Radio),arts-and-humanities,history
21,User Experience,arts-and-humanities,history
22,Photography,arts-and-humanities,history
23,Web Design,arts-and-humanities,history
24,Video Production,arts-and-humanities,history
26,Principle,arts-and-humanities,history
27,Video Editing,arts-and-humanities,history
28,Software,arts-and-humanities,history
30,Web,arts-and-humanities,history
32,Color Theory,arts-and-humanities,history
33,Vector Graphics,arts-and-humanities,history
34,Logo,arts-and-humanities,history
35,Color Psychology,arts-and-humanities,history
39,Image File Formats,arts-and-humanities,history
40,Ordered Pair,arts-and-humanities,history
41,Adobe Illustrator,arts-and-humanities,history
46,Brochure Design,arts-and-humanities,history
48,Adobe Photoshop,arts-and-humanities,history
54,Experience,arts-and-humanities,history
55,Digital Media,arts-and-humanities,history
60,Astronomy,arts-and-humanities,history
61,Species,arts-and-humanities,history
62,Solar Systems,arts-and-humanities,history
63,Thought,arts-and-humanities,history
64,Verse Protocol,arts-and-humanities,history
65,Geology,arts-and-humanities,history
66,Film,arts-and-humanities,history
67,Dialogue,arts-and-humanities,history
68,Sustainable Energy,arts-and-humanities,history
69,Scaling,arts-and-humanities,history
72,Natural Selection,arts-and-humanities,history
74,Derivative,arts-and-humanities,history
75,Interview,arts-and-humanities,history
78,Religion,arts-and-humanities,history
79,Culture,arts-and-humanities,history
80,Physics,arts-and-humanities,history
82,Critical Thinking,arts-and-humanities,history
85,Chemistry,arts-and-humanities,history
87,Biology,arts-and-humanities,history
88,Evolutionary Biology,arts-and-humanities,history
89,Anthropology,arts-and-humanities,history
91,Qualitative Economics,arts-and-humanities,history
93,Cultural Impact,arts-and-humanities,history
94,Conquesting,arts-and-humanities,history
95,Popularity,arts-and-humanities,history
96,Canned Tea,arts-and-humanities,history
97,Bible,arts-and-humanities,history
98,Israel,arts-and-humanities,history
99,Archeology,arts-and-humanities,history
100,Entry Point,arts-and-humanities,history
102,Widget (Gui),arts-and-humanities,history
104,Emptiness,arts-and-humanities,history
105,Chinese Language,arts-and-humanities,history
107,Materials,arts-and-humanities,history
108,Writing,arts-and-humanities,history
110,Literary Theory,arts-and-humanities,history
111,Daughter,arts-and-humanities,history
112,Cognitive Dissonance,arts-and-humanities,history
113,Reason,arts-and-humanities,history
114,Stylometry,arts-and-humanities,history
115,Confirmation Bias,arts-and-humanities,history
116,Doubt,arts-and-humanities,history
119,Belief,arts-and-humanities,history
121,Holocaust,arts-and-humanities,history
122,War Crime,arts-and-humanities,history
123,Delegitimisation,arts-and-humanities,history
124,National Trauma,arts-and-humanities,history
125,Nazi Germany,arts-and-humanities,history
126,Nazi Concentration Camps,arts-and-humanities,history
127,Nazism,arts-and-humanities,history
