,Skill
0,Journalism
1,Content Marketing
2,Storytelling
3,Advertising
4,Marketing
5,Brand
6,Gamification
7,Audience
8,Newspaper
9,Branded Content
10,Graphic Design
11,Computer Graphics
12,I-Deas
13,Graphic Arts
14,History
15,Analysis
16,Art History
17,Art
18,Design Analysis
19,Typography
20,White Spaces (Radio)
21,User Experience
22,Photography
23,Web Design
24,Video Production
26,Principle
27,Video Editing
28,Software
30,Web
32,Color Theory
33,Vector Graphics
34,Logo
35,Color Psychology
39,Image File Formats
40,Ordered Pair
41,Adobe Illustrator
46,Brochure Design
48,Adobe Photoshop
54,Experience
55,Digital Media
60,Astronomy
61,Species
62,Solar Systems
63,Thought
64,Verse Protocol
65,Geology
66,Film
67,Dialogue
68,Sustainable Energy
69,Scaling
72,Natural Selection
74,Derivative
75,Interview
78,Religion
79,Culture
80,Physics
82,Critical Thinking
85,Chemistry
87,Biology
88,Evolutionary Biology
89,Anthropology
91,Qualitative Economics
93,Cultural Impact
94,Conquesting
95,Popularity
96,Canned Tea
97,Bible
98,Israel
99,Archeology
100,Entry Point
102,Widget (Gui)
104,Emptiness
105,Chinese Language
107,Materials
108,Writing
110,Literary Theory
111,Daughter
112,Cognitive Dissonance
113,Reason
114,Stylometry
115,Confirmation Bias
116,Doubt
119,Belief
121,Holocaust
122,War Crime
123,Delegitimisation
124,National Trauma
125,Nazi Germany
126,Nazi Concentration Camps
127,Nazism
128,Antisemitism
129,Psychological Trauma
130,Naturopathy
131,Chinese Medicine
132,Traditional Medicine
133,Ethnobotany
134,Ayurveda
135,Herbalism
136,Plant
137,Healing
138,Herbal
139,Medicine
140,Dissemination
142,Scientific Method
145,Historical Source
146,Interpretation
147,Modeling
148,Case Study
149,Saving
151,Man
152,Space Station
153,Space Stations
154,Portable Document Format
155,Disaster
156,Aerospace Engineering
158,Probability Density Function
159,Reading (Process)
160,Interior Design
161,Academic Writing
164,English Language
165,Language
167,Essay Writing
168,Grammar
169,Scientific Writing
171,Ageing
172,Middle East
173,Middle Age
177,Glassing
179,Architecture
180,Linguistics
182,Pragmatics
185,Education
190,Gustave Le Bon
192,Unos (Operating System)
193,Arts And Humanities
199,Dominant Narrative
200,Composite Artifact Colors
201,Dams
202,Urban Area
203,Inner City
206,Dam
207,Urban Areas
209,Human Learning
214,Evolution
216,Methodology
217,Cultural Capital
218,Desert
219,Monk
220,Father
221,Spirituality
223,Faith
225,Missionary
227,Anti-Western Sentiment
230,Diplomatics
234,Trading Blows
235,Spring
238,Leonardo Da Vinci
249,International Relations
250,Intellectual
251,U.S. Securities And Exchange Commission
253,Fiction Writing
257,Creative Writing
258,Greek Mythology
259,Poetry Writing
262,Mythology
266,Influencing
268,A Priori
269,Philosophy
271,Ethics
274,Failure
275,There Are Known Knowns
277,Acceptance
278,Elections
279,Bias
280,Emotions
282,System U
283,Observation
285,Gratitude
288,Joie De Vivre
290,Referent Power
292,Panopticon
293,Participatory Politics
294,Symbolic Interactionism
295,Participatory Democracy
296,Me Generation
297,Generativity
298,Broadcast
300,Harmony
301,Brand-New
304,Music
305,Opus (Audio Format)
306,Drama
307,Awe
308,Rubygems
309,Piano
312,Fortification
316,Evaluation
318,Dwelling
