,Skill
0,.NET Framework
1,3D Modeling
2,API Design
3,API Gateway
4,API Management
5,ASP.NET
6,ATLAS.ti (Qualitative Data Analysis Software)
7,AWK (Programming Language)
8,AWS Elastic MapReduce (EMR)
9,AWS Kinesis
10,AWS Lambda
11,AWS SageMaker
12,Accounts Receivable
13,Active Database Management Systems
14,Adaptive Insights (Software)
15,Addressing Schemes
16,Adobe Spark
17,Adversarial Machine Learning
18,Agile Software Development
19,Air Brakes
20,Air Handler
21,Aircraft Maintenance
22,Airflow
23,Airworthiness
24,Alice Concierge (Software)
25,Allegro Common Lisp
26,Alteryx
27,Aluminium-Conductor Steel-Reinforced Cabling
28,Amazon DynamoDB
29,Amazon Elastic Compute Cloud
30,Amazon Redshift
31,Android ButterKnife
32,Android Debug Bridge
33,Android Marshmallow
34,Android NDK
35,Android Software Development
36,Android Studio
37,Android Ui
38,Angular (Web Framework)
39,Angular CLI
40,Angular Material
41,Angular Ui
42,Apache Cassandra
43,Apache HBase
44,Apache Hadoop
45,Apache Hive
46,Apache Kafka
47,Apache Pig
48,Apache Spark
49,Apigee
50,App Inventor For Android
51,App Store (IOS)
52,Apple Pascal
53,Application Programming Interface (API)
54,Applications Of Artificial Intelligence
55,ArcGIS (GIS Software)
56,Artificial Intelligence
57,Artificial Intelligence Markup Language (AIML)
58,Artificial Intelligence Systems
59,Artificial Linguistic Internet Computer Entity (ALICE)
60,Artificial Neural Networks
61,Asynchronous Javascript
62,AutoCAD
63,AutoCAD Architecture
64,AutoCAD Civil 3D
65,AutoCAD DXF
66,AutoCAD Plant 3D
67,Autoencoders
68,Automated Machine Learning
69,Automotive Service Excellence
70,Azure Active Directory
71,Azure Cloud Services
72,Azure Cosmos DB
73,Azure DevOps
74,Azure Internet of Things (IoT)
75,Azure Kubernetes Service
76,Azure Logic Apps
77,Azure Service Bus
78,Azuread
79,Backbone.Js
80,Backup And Restore
81,Balance Spring
82,Bash (Scripting Language)
83,Basic First Aid
84,Basic Linear Algebra Subprograms
85,Big Data
86,BigQuery
87,Binomial Heap
88,Bitbucket
89,Boost (C++ Libraries)
90,Bourne Shell
91,Brand Awareness
92,Building Information Modeling
93,Business Awareness
94,Business Excellence
95,Business Intelligence
96,Business Intelligence Development
97,Business Intelligence Development Studio
98,Business Intelligence Testing
99,Business Intelligence Tools
100,Business Model
101,Business Process Execution Language
102,Business Process Modeling
103,Business Requirements
104,C Shell
105,C# (Programming Language)
106,C# Fundamentals
107,C++ (Programming Language)
108,C++ Concepts
109,C++ Server Pages
110,C++/CLI
111,C++14
112,CGI Scripting
113,CGIC (ANSI C Library For CGI Programming)
114,COBOL (Programming Language)
115,CSS Animations
116,CSS Codes
117,CSS Flex Box Layout
118,CSS Frameworks
119,Caffe
120,Caffe2
121,Canva (Software)
122,Canvasjs
123,Canvassing
124,Cardiopulmonary Resuscitation (CPR)
125,Caregiving
126,Cascading Style Sheets (CSS)
127,Cash Handling
128,Cash Register
129,CatBoost (Machine Learning Library)
130,Cgi Application
131,Cglib
132,Cgroups
133,Chain Restaurants
134,Channel Allocation Schemes
135,Character Encodings In HTML
136,Chartio
137,Cisco IOS
138,Cisco Spark
139,Citect Scada
140,Classification And Regression Tree (CART)
141,Classified Information
142,Classified Networks
143,Cloud Computing
144,Cloud Computing Architecture
145,Cloud Computing Security
146,Cloud Engineering
147,Cloud Infrastructure
148,Cloud Technologies
149,Cloudera Impala
150,Collections
151,Column-Oriented DBMS
152,Command-Query Responsibility Segregation (Software Development)
153,Common Lisp Interface Manager
154,Common Lisp Object Systems
155,Component Pascal
156,Component-Based Software Engineering
157,Comprehensive Perl Archive Network (CPAN)
158,Compressed Air
159,Computer Networks
160,Computer Science
161,Computer Security Awareness Training
162,Computer Vision
163,Computer-Aided Design
164,Computer-Aided Manufacturing
165,Computer-Aided Software Engineering
166,Concurrent Pascal
167,Consumer Database Management System
168,Consumer Packaged Goods
169,Content Repository API For Java
170,Convolutional Neural Networks
171,Corona (Software Development Kit)
172,Csslint
173,Customer Experience
174,Customer Relationship Management
175,Customer Satisfaction
176,D3.Js
177,Dashboard
178,Data Analysis
179,Data Analysis And Display (DADiSP)
180,Data Capture (SQL)
181,Data Classification
182,Data Distribution Services
183,Data Engineering
184,Data Engineering Scripting Language
185,Data Governance
186,Data Modeling
187,Data Visualization
188,Data Warehousing And Business Intelligence (DWBI)
189,Database Management Systems
190,Databricks
191,Debian Linux
192,Decision Tree Learning
193,Dedoose (Qualitative Data Analysis Software)
194,Deep Learning
195,Deeplearning4j
196,DevOps
197,Development Aid
198,Dewey Decimal Classification
199,Digital Dashboards
200,Dimensionality Reduction
201,Distributed Computing
202,Distributed Control Systems
203,Distributed Data Store
204,Distributed Database Management System (DDBMS)
205,Distributed Temperature Sensing (DTS)
206,Distribution Management Systems
207,Diversity Scheme
208,Docker (Software)
209,Docker Container
210,Docker Engine
211,Docker Swarm
212,Dockerfile
213,Dockerhub
214,Document Classification
215,Domo
216,Dynamic HTML
217,ESPRIT AutoCAD
218,Elasticsearch
219,Electric Power Distribution
220,Elementary Matrix (Linear Algebra)
221,Emacs Lisp
222,Embeddable Common Lisp
223,Embedded C++
224,Ember.Js
225,Equal Channel Angular Extrusion
226,Erlang
227,Excel Formulas
228,Excel Macros
229,Excel Pivot Tables And Charts
230,Excel Services
231,Excel Solver
232,ExcelPackage
233,Execute Plans
234,Executive Coaching
235,Executive Information Systems
236,Executive Search
237,Executive Sponsor
238,Experimental Software Engineering
239,Exploratory Data Analysis
240,Ext JS
241,Extensible Markup Language (XML)
242,Extract Transform Load (ETL)
243,FLUKA Particle Transport Code (Fortran Software)
244,Factor Analysis
245,Factory And Site Acceptance Testing
246,Factory Reset
247,Fast Moving Consumer Goods
248,Fibonacci Heap
249,Fibre-Reinforced Plastic
250,Financial Data Analysis
251,Financial Modeling
252,Financial Services Compensation Scheme
253,Fingerprint Identification And Classification
254,Finished Good
255,Food Safety
