Skill,Parent
.NET Framework,
3D Modeling,
API Design,
API Gateway,
API Management,
ASP.NET,
ATLAS.ti ,Qualitative Data Analysis Software
AWK ,Programming Language
AWS Elastic MapReduce ,EMR
AWS Kinesis,
AWS Lambda,
AWS SageMaker,
Accounts Receivable,
Active Database Management Systems,
Adaptive Insights ,Software
Addressing Schemes,
Adobe Spark,
Adversarial Machine Learning,
Agile Software Development,
Air Brakes,
Air Handler,
Aircraft Maintenance,
Airflow,
Airworthiness,
Alice Concierge ,Software
Allegro Common Lisp,
Alteryx,
Aluminium-Conductor Steel-Reinforced Cabling,
Amazon DynamoDB,
Amazon Elastic Compute Cloud,
Amazon Redshift,
Android ButterKnife,
Android Debug Bridge,
Android Marshmallow,
Android NDK,
Android Software Development,
Android Studio,
Android Ui,
Angular ,Web Framework
Angular CLI,
Angular Material,
Angular Ui,
Apache Cassandra,
Apache HBase,
Apache Hadoop,
Apache Hive,
Apache Kafka,
Apache Pig,
Apache Spark,
Apigee,
App Inventor For Android,
App Store ,IOS
Apple Pascal,
Application Programming Interface ,API
Applications Of Artificial Intelligence,
ArcGIS ,GIS Software
Artificial Intelligence,
Artificial Intelligence Markup Language ,AIML
Artificial Intelligence Systems,
Artificial Linguistic Internet Computer Entity ,ALICE
Artificial Neural Networks,
Asynchronous Javascript,
AutoCAD,
AutoCAD Architecture,
AutoCAD Civil 3D,
AutoCAD DXF,
AutoCAD Plant 3D,
Autoencoders,
Automated Machine Learning,
Automotive Service Excellence,
Azure Active Directory,
Azure Cloud Services,
Azure Cosmos DB,
Azure DevOps,
Azure Internet of Things ,IoT
Azure Kubernetes Service,
Azure Logic Apps,
Azure Service Bus,
Azuread,
Backbone.Js,
Backup And Restore,
Balance Spring,
Bash ,Scripting Language
Basic First Aid,
Basic Linear Algebra Subprograms,
Big Data,
BigQuery,
Binomial Heap,
Bitbucket,
Boost ,C++ Libraries
Bourne Shell,
Brand Awareness,
Building Information Modeling,
Business Awareness,
Business Excellence,
Business Intelligence,
Business Intelligence Development,
Business Intelligence Development Studio,
Business Intelligence Testing,
Business Intelligence Tools,
Business Model,
Business Process Execution Language,
Business Process Modeling,
