coursera_skill_id,skill_id
457,2600
462,2601
466,2602
467,2603
469,2604
920,2132
923,2087
924,2011
926,2290
1265,2609
1308,1212
2007,2611
2103,2612
2104,2613
2105,2614
2106,2615
2133,2410
2156,2617
2175,2618
2240,2619
2242,2563
1458,2621
1475,2622
245,2623
6,311
63,2625
282,2626
506,2627
1337,2628
1851,2629
2486,2630
2488,2631
2489,2632
2493,2633
2541,2634
2592,2635
1869,2636
203,194
2790,2638
2793,2639
2810,1666
664,459
1732,2642
1968,2643
2089,2644
2207,2645
2667,2646
2679,2647
2680,2648
2682,2649
2683,2650
2684,197
2685,2652
2691,245
2694,420
2695,420
2700,2656
2701,320
2705,2658
2706,459
2711,2660
2712,2661
2713,2662
2714,2663
2715,2664
2718,2665
2719,2666
2720,363
2735,1274
2760,2669
2761,1220
2762,1208
2764,2672
2782,2673
2796,2674
2797,2675
2802,2676
2816,2677
2817,2678
2819,2679
2859,2680
2873,2681
2888,2682
2890,2683
3088,2684
3214,2685
423,2686
18,1250
631,2688
816,2689
925,116
989,2691
1020,2692
1040,2693
1042,2694
1048,2695
1083,2696
1090,2697
1114,2698
1137,1256
1144,2700
1145,2701
1163,1059
1295,180
1379,2704
1484,2705
1485,2706
1486,2707
1488,2708
1561,1299
1564,170
1619,2711
1737,2712
1782,2713
1814,2714
1958,2715
1959,2716
2283,2717
2286,2718
2412,2719
2413,148
2417,1353
2465,2722
2508,1553
2783,1218
2811,540
2851,2726
1227,44
2478,2728
2513,1351
2559,122
2590,743
537,2732
538,2733
2914,802
68,2735
879,383
2671,2737
2731,1394
3111,229
1183,1277
3179,1230
3180,2742
771,38
128,32
2787,2745
2887,2746
366,2747
137,2748
138,2749
139,2750
140,2748
141,2749
332,2753
443,2122
594,2755
762,2756
2831,2757
2869,2758
13,2759
16,1209
22,2181
376,2762
553,2763
567,2764
571,2765
604,2766
785,2767
1745,2768
42,2769
110,2770
111,2770
786,2772
498,2773
514,2004
515,2775
520,2776
536,2777
589,2778
591,2779
190,2780
1302,2781
1303,2782
1304,2783
1306,2784
1382,2785
1974,2786
2132,2787
2134,2788
2135,2789
2296,2790
2621,2791
2622,2792
3192,2793
1037,2794
2821,2795
2686,2796
2693,246
2789,2798
41,2799
50,2800
59,2083
101,498
113,2803
124,2804
143,2805
146,2806
148,2807
268,2808
900,2809
2392,2810
2722,1275
953,2812
2151,2813
1477,2814
95,382
98,2816
1671,2817
1672,2818
1673,2819
2503,2820
2516,2821
2517,2822
2540,2823
2568,2824
2573,2825
2605,2826
675,2827
1539,2828
4,118
5,2830
15,199
25,2832
38,2833
108,2554
231,2835
234,2836
235,2837
576,111
578,2839
580,2840
602,2841
693,449
936,2843
938,2844
940,2845
942,2846
943,527
944,2295
950,2849
960,2850
964,2851
979,2852
1007,2853
1012,2854
1017,2855
1018,2856
1041,2857
1087,2306
1112,2859
1113,2860
1118,2861
1119,2862
1149,2863
1150,2307
1160,2865
1161,2866
1175,2867
1176,2868
1177,1222
1185,2870
1207,2871
1220,2054
1222,2873
1233,2874
1245,2308
1266,2876
1278,2877
1285,2878
1287,2878
1288,2880
1320,2881
1343,2882
1345,2883
1360,2884
1387,2885
1397,46
1506,2887
1507,163
1508,2889
1529,2890
1533,2891
1544,2892
1545,2893
1546,2894
1562,2895
1567,1524
1603,2897
1623,2015
1630,2899
1631,1224
1705,2901
1720,2902
1725,2903
1726,2904
1790,2905
1791,2906
1794,2907
1795,2908
1796,2909
1876,2298
1916,2911
1937,2912
1948,2913
1949,2914
1950,2915
2118,2916
2235,2917
2322,2918
2324,2919
2341,2920
2343,2921
2366,2922
