skill_id,skill
0,Journalism
1,Content Marketing
2,Storytelling
3,Advertising
4,Marketing
5,Brand
6,Gamification
7,Audience
8,Newspaper
9,Branded Content
10,Graphic Design
11,Computer Graphics
12,I-Deas
13,Graphic Arts
14,History
15,Analysis
16,Art History
17,Art
18,Design Analysis
19,Typography
20,White Spaces (Radio)
21,User Experience
22,Photography
23,Web Design
24,Video Production
25,Principle
26,Video Editing
27,Software
28,Web
29,Color Theory
30,Vector Graphics
31,Logo
32,Color Psychology
33,Image File Formats
34,Ordered Pair
35,Adobe Illustrator
36,Brochure Design
37,Adobe Photoshop
38,Experience
39,Digital Media
40,Astronomy
41,Species
42,Solar Systems
43,Thought
44,Verse Protocol
45,Geology
46,Film
47,Dialogue
48,Sustainable Energy
49,Scaling
50,Natural Selection
51,Derivative
52,Interview
53,Religion
54,Culture
55,Physics
56,Critical Thinking
57,Chemistry
58,Biology
59,Evolutionary Biology
60,Anthropology
61,Qualitative Economics
62,Cultural Impact
63,Conquesting
64,Popularity
65,Canned Tea
66,Bible
67,Israel
68,Archeology
69,Entry Point
70,Widget (Gui)
71,Emptiness
72,Chinese Language
73,Materials
74,Writing
75,Literary Theory
76,Daughter
77,Cognitive Dissonance
78,Reason
79,Stylometry
80,Confirmation Bias
81,Doubt
82,Belief
83,Holocaust
84,War Crime
85,Delegitimisation
86,National Trauma
87,Nazi Germany
88,Nazi Concentration Camps
89,Nazism
90,Antisemitism
91,Psychological Trauma
92,Naturopathy
93,Chinese Medicine
94,Traditional Medicine
95,Ethnobotany
96,Ayurveda
97,Herbalism
98,Plant
99,Healing
100,Herbal
101,Medicine
102,Dissemination
103,Scientific Method
104,Historical Source
105,Interpretation
106,Modeling
107,Case Study
108,Saving
109,Man
110,Space Station
111,Space Stations
112,Portable Document Format
113,Disaster
114,Aerospace Engineering
115,Probability Density Function
116,Reading (Process)
117,Interior Design
118,Academic Writing
119,English Language
120,Language
121,Essay Writing
122,Grammar
123,Scientific Writing
124,Ageing
125,Middle East
126,Middle Age
127,Glassing
128,Architecture
129,Linguistics
130,Pragmatics
131,Education
132,Gustave Le Bon
133,Unos (Operating System)
134,Arts And Humanities
135,Dominant Narrative
136,Composite Artifact Colors
137,Dams
138,Urban Area
139,Inner City
140,Dam
141,Urban Areas
142,Human Learning
143,Evolution
144,Methodology
145,Cultural Capital
146,Desert
147,Monk
148,Father
149,Spirituality
150,Faith
151,Missionary
152,Anti-Western Sentiment
153,Diplomatics
154,Trading Blows
155,Spring
156,Leonardo Da Vinci
157,International Relations
158,Intellectual
159,U.S. Securities And Exchange Commission
160,Fiction Writing
161,Creative Writing
162,Greek Mythology
163,Poetry Writing
164,Mythology
165,Influencing
166,A Priori
167,Philosophy
168,Ethics
169,Failure
170,There Are Known Knowns
171,Acceptance
172,Elections
173,Bias
174,Emotions
175,System U
176,Observation
177,Gratitude
178,Joie De Vivre
179,Referent Power
180,Panopticon
181,Participatory Politics
182,Symbolic Interactionism
183,Participatory Democracy
184,Me Generation
185,Generativity
186,Broadcast
187,Harmony
188,Brand-New
189,Music
190,Opus (Audio Format)
191,Drama
192,Awe
193,Rubygems
194,Piano
195,Fortification
196,Evaluation
