skill_id,skill
1,Applied Science
2,Art
3,Business
4,Computer Science
5,Data Science
6,Decision Theory
7,Engineering
8,Humanities
9,Information Technology
10,Language Learning
11,Life Science
12,Logic
13,Mathematics
14,Natural Science
15,Physical Science
16,Social Science
17,Statistics
18,Systems Theory
19,Theoretical Computer Science
20,Accountancy
21,Accounting
22,Aerospace Engineering
23,Agricultural Engineering
24,Agronomy
25,Algorithm
26,Animal Health
27,Anthropology
28,Applied Engineering
29,Applied Linguistics
30,Applied Mathematics
31,Applied Physics
32,Architecture
34,Artificial Intelligence (AI)
35,Astronomy
36,Basic Science
37,Big Data
38,Biochemistry
39,Bioengineering
40,Biological Engineering
41,Biology
42,Botany
44,Business Analytics
45,Business Essentials
46,Business Strategy
47,Ceramic Engineering
48,Chemical Engineering
49,Chemistry
50,Civil Engineering
51,Cloud Computing
52,Cognitive Science
53,Communication
54,Communication and Security
55,Compiler
56,Complexity
57,Computer Architecture
58,Computer Engineering
59,Computer Graphics
60,Computing Technology
61,Concurrent System
62,Cultural Studies
63,Data Analysis
64,Data Management
65,Data Structure
66,Database
67,Demography
68,Descriptive Decision Theory
69,Design
70,Development
71,Development Studies
72,Discrete Mathematics
73,Distributed System
74,Earth Science
75,Ecology
76,eCommerce Platforms
77,Economics
78,Education
79,Electrical Engineering
80,Electromechanical Engineering
81,Electronic and Electrical Engineering
82,Electronics
83,Energy Technology
85,Engineering Physics
86,Engineering Technology
87,Entrepreneurship
88,Environmental Science
89,Environmental Studies
90,Finance
91,Folkloristics
92,Forensic Science
93,Formal Logic
94,Gender and Sexuality Studies
95,Geography
96,Geology
97,Gerontology
98,Health Informatics
99,Health Science
100,Healthcare
101,History
102,Human Resource Management
103,Industrial Engineering
104,Industrial Relations
105,Informal Logic
106,Information Engineering
107,Information Science
108,International Studies
109,Language Engineering
110,Law
111,Leadership
112,Legal Management
113,Library Science
114,Linguistics
115,Machine Learning
116,Management
117,Marine Engineering
118,Marketing
119,Materials Engineering
120,Mathematics Foundations
121,Mathematical Logic
122,Mechanical Engineering
123,Media Studies
124,Meteorology
125,Microbiology
126,Microtechnology
127,Military Engineering
128,Military Science
129,Mining Engineering
130,Network and Information Security
131,Networking
132,Normative Decision Theory
133,Nuclear Engineering
134,Nutrition
135,Oceanography
136,Operations
137,Organizational Studies
138,Parallel System
139,Patient Care
140,Philosophy
141,Physics
142,Planning
143,Policy
144,Political Science
145,Polymer Engineering
146,Presentation
147,Probability
148,Programming Language
149,Property
150,Psychology
151,Public Administration
152,Public Health
153,Pure Mathematics
154,Religious Studies
155,Retail
156,Sales
157,Science and Technology Studies
158,Scientific Computing
159,Security
160,Security Engineering
161,Social Work
162,Sociology
163,Software Application
164,Software Development
165,Software Engineering
166,Space Science
167,Spatial Science
169,Support
170,Sustainability
171,Sustainability Studies
172,Sustainable Development
173,Systems Engineering
174,Theory of Computation
175,Virtualization
176,Zoology
177,.NET
178,A/B Testing
180,Accounting and Finance
181,Accoustical Engineering
182,Active Listening
183,Ad Design
184,Ada
185,Adobe
186,Adobe Illustrator
187,Adobe InDesign
188,Adobe Photoshop
189,Aeronautical Engineering
190,Aesthetics
191,Agile Business Analytics
193,Agricultural Science
194,Agriculture
195,Algebra
197,Algorithm Design
198,Amorphous Metals
199,Analysis
200,Android
201,Animal Husbandry
202,Animation
203,Anthropolocial Linguistics
204,Anthropology of Religion
205,Anthrozoology
206,APL
207,Application
208,Applied Anthropology
210,Applied Psychology
211,Aquaculture
212,Archaeology
213,Architectonics
214,Architectural Engineering
215,Assembly Language
216,Astronautical Engineering
217,Astronautics
219,Atomic Physics
220,Automata Theory
221,Automated Reasoning
222,Automotive Engineering
223,B
224,B2B Marketing
225,Behaviour Analysis
226,Behavioural Economics
227,Big Data Analysis
228,Big Data Tool
229,Bioeconomics
230,Bioinformatics
231,Biolinguistics
232,Biomaterials Engineering
233,Biomedical Engineering
234,Bionics
235,Biopsychology
236,Bison
237,Brainstorming
238,Brand Management
239,Broadcast Engineering
240,Building Science
241,Business Process Modeling
243,Buyer Engagement
244,Buyer-Responsive Selling
245,C
246,C#
247,C++
248,Calendar
249,Cartography
250,Cascading Style Sheet (CSS)
251,Casting
253,Cerfified Ethical Hacker
254,Cisco CCNA
255,CISSP
256,Civics
257,Classical Mechanics
258,Clinical Linguistics
259,Clinical Psychology
260,Clojure
261,Closing
262,CMS Tool
263,COBOL
264,Coding
265,Coding Theory
266,Cognitive Linguistics
267,Cognitive Psychology
268,Cold Calling
269,ColdFusion
270,Colour Sense
271,Colour Theory
272,Combat Engineering
273,Combinatorics
274,Common Lisp
275,Communication Studies
276,Comparative Economics
277,Comparative Linguistics
278,Comparative Politics
279,Competitive Strategy
280,Compiler Optimization
