,Skill,Parent
10,433,513
14,595,513
18,762,163
19,762,466
20,3,87
21,9,261
22,13,261
23,16,41
24,22,163
25,27,433
26,32,700
27,36,261
28,37,41
29,38,41
30,38,466
31,39,41
32,47,41
33,50,163
34,51,700
35,56,595
36,65,433
37,70,433
38,72,261
39,76,261
40,77,433
41,83,433
42,87,700
43,88,87
44,89,87
45,104,261
46,106,261
47,107,595
48,110,261
49,119,397
50,125,700
51,132,163
52,134,163
53,141,163
54,145,163
55,158,163
56,160,261
57,161,163
58,167,41
59,169,163
60,191,700
61,198,201
62,199,397
63,202,163
64,203,163
65,208,700
66,211,205
67,217,700
68,228,163
69,228,466
70,230,163
71,235,595
72,237,433
73,244,87
74,244,700
75,247,41
76,247,700
77,250,261
78,252,261
79,256,41
80,260,41
81,261,41
82,262,261
83,264,261
84,266,87
85,272,41
86,272,595
87,273,700
88,303,87
89,308,700
90,313,41
91,315,443
92,325,700
93,329,700
94,332,595
95,338,700
96,352,433
97,354,41
98,355,433
99,365,700
100,369,87
101,387,261
102,389,700
103,393,443
104,394,261
105,395,700
106,409,700
107,420,261
108,424,700
109,426,87
110,428,700
111,431,700
112,436,700
113,448,201
114,451,41
115,451,87
116,451,700
117,455,261
118,456,87
119,458,261
120,462,163
121,463,443
122,469,261
123,474,700
124,482,595
125,483,433
126,486,41
127,488,261
128,493,41
129,497,261
130,516,397
131,523,205
132,524,261
133,534,433
134,540,595
135,543,397
136,553,87
137,562,163
138,571,433
139,581,700
140,597,595
141,599,700
142,605,700
143,608,261
144,616,201
145,621,163
146,635,433
147,635,700
148,639,700
149,642,433
150,644,466
151,664,700
152,681,700
153,682,163
154,687,397
155,688,261
156,701,700
157,705,700
158,707,163
159,708,163
160,708,261
161,714,41
162,714,595
163,715,41
164,728,201
165,738,397
166,741,595
167,742,700
168,744,700
169,752,261
170,763,163
171,804,433
172,0,621
173,4,451
174,5,469
175,6,621
176,8,9
177,8,469
178,10,581
179,13,76
180,14,13
181,15,16
182,18,644
183,23,708
184,24,458
185,28,16
186,29,161
187,31,436
188,33,32
189,34,32
190,1,621
191,35,32
192,37,436
193,40,635
194,42,16
195,44,32
196,45,110
197,46,47
198,46,110
199,53,621
200,54,9
201,55,714
202,56,714
203,57,597
204,58,763
205,59,50
206,61,469
207,62,621
208,64,228
209,67,635
210,69,244
211,71,244
212,74,683
213,75,436
214,78,458
215,79,76
216,80,76
217,81,635
218,82,143
219,84,250
220,86,47
221,89,451
222,90,621
223,91,621
224,92,621
225,100,132
226,102,329
227,103,458
228,104,458
229,109,605
230,112,597
231,116,436
232,117,635
233,118,621
234,96,621
235,121,462
236,123,436
237,124,635
238,126,621
239,127,488
240,130,228
241,130,644
242,131,621
243,133,474
244,137,244
245,138,436
246,139,605
247,140,89
248,142,141
249,143,141
250,146,458
251,147,463
252,147,763
253,148,683
254,149,683
255,150,145
256,150,763
257,152,436
258,153,683
259,155,683
260,156,38
261,156,683
262,159,50
263,160,167
264,160,250
265,161,213
266,162,708
267,163,167
268,164,134
269,165,50
270,166,708
271,168,169
272,170,597
273,172,354
274,173,110
275,176,132
276,177,387
277,177,252
278,179,458
279,180,597
280,183,705
281,185,134
282,186,458
283,187,51
284,189,32
285,190,635
286,194,738
287,196,621
288,200,203
289,206,448
290,207,621
291,208,705
292,209,354
293,214,244
294,216,436
295,218,635
296,220,436
297,224,456
298,226,436
299,228,462
300,229,230
301,232,516
302,233,621
303,234,132
304,236,244
305,239,244
306,240,244
307,241,244
308,242,244
309,245,161
310,248,635
311,249,621
312,251,597
313,253,252
314,254,250
315,255,458
316,259,244
317,263,387
318,265,244
319,268,244
320,269,110
321,270,329
322,271,599
323,274,272
324,276,581
325,277,387
326,278,621
327,279,581
328,280,32
329,281,32
330,282,32
331,283,32
332,284,32
333,285,436
334,286,32
335,287,244
336,288,436
337,289,635
338,291,32
339,293,635
340,296,621
341,298,387
342,303,451
343,304,244
344,305,272
345,309,16
346,310,436
347,311,458
348,312,635
349,314,16
350,316,708
351,317,141
352,318,621
353,323,462
354,323,605
355,328,76
356,330,715
357,331,436
358,334,644
359,336,605
360,337,110
361,341,621
362,343,228
363,344,462
364,346,621
365,349,202
366,350,621
367,353,635
368,359,244
369,360,203
370,361,597
371,362,32
372,364,436
373,366,16
374,368,329
375,370,708
376,371,635
377,373,110
378,383,605
379,384,161
380,386,228
381,391,635
382,388,244
383,396,167
384,397,167
385,398,161
386,399,132
387,400,244
388,401,252
389,406,244
390,410,50
391,411,141
392,413,621
393,414,621
394,415,708
395,416,244
396,418,436
397,420,708
398,423,621
399,425,244
400,430,436
401,434,32
402,435,436
403,437,141
404,439,202
405,440,51
406,441,141
407,443,228
408,443,581
409,444,387
410,448,50
411,449,244
412,452,244
413,453,387
414,453,469
415,455,469
416,456,451
417,458,106
418,459,458
419,460,38
420,463,462
421,463,644
422,464,38
423,465,38
424,467,644
425,472,252
426,475,32
427,476,354
428,478,76
429,479,458
430,480,458
431,484,244
432,487,493
433,488,493
434,490,493
