Id,Skill,DomainId
0,Account Receivable,2
1,Accountancy,2
2,Accounting,2
3,Accounting Software,2
4,Accounting Standards,2
5,Accounts Payable,2
6,Accuracy,2
7,Adaptability,2
8,Administration,2
9,Adminitrative Assistance,2
10,Advanced Google Search,2
11,Advertising,2
12,Advertising Management,2
13,Affliate Marketing,2
14,Agile Business Analytics,2
15,Agile Methodology,2
16,Airlines,2
17,Analytical,2
18,Analytical Reasoning,2
19,Annual Report,2
20,Anti Money Laundering,2
21,Asana,2
22,Asset Management,2
23,Audio Production,2
24,Audit,2
25,Auditor's Report,2
26,Automated Marketing Software,2
27,B2B Marketing,2
28,Balance Sheet,2
29,Banking,2
30,Basecamp,2
31,Benchmarking,2
32,Blogging,2
33,Bookkeeping,2
34,Brainstorming,2
35,Brand Management,2
36,Branding,2
37,Broadcast Media,2
38,Budget,2
39,Budget Planning,2
40,Business Acumen,2
41,Business Administration,2
42,Business Analysis,2
43,Business Analytics,2
44,Business Consulting,2
45,Business Development,2
46,Business Essentials,2
47,Business Ethics,2
48,Business Judgment Rule,2
49,Business Management,2
50,Business Model,2
51,Business Operations,2
52,Business Plan,2
53,Business Process,2
54,Business Process Modelling,2
55,Business Research,2
56,Business Statistics,2
57,Business Storytelling,2
58,Business Strategy,2
59,Business Technology Management,2
60,Business Writing,2
61,Buyer Engagement,2
62,Buyer Research,2
63,Buyer-Responsive Selling,2
64,Buyer-Seller Agreement,2
65,Calendar,2
66,Capacity Management,2
67,Capital Budgeting,2
68,Cash Conversion Cycle,2
69,Cash Flow Management,2
70,Cash-flow Statement,2
71,Casino,2
72,Change Management,2
73,Channel Marketing,2
74,Chart,2
75,Clear Communication,2
76,Client Relations,2
77,Closing,2
78,Closing Technique,2
79,CMS Tool,2
80,Cognos Analytics,2
81,Cold Calling,2
82,Collaboration,2
83,Commercial,2
84,Commercial Banking,2
85,Commercial Management,2
86,Communication,2
87,Communications Management,2
88,Competitive Strategy,2
89,Conceptual Skills,2
90,Conflict Management,2
91,Construction,2
92,Consulting,2
93,Consumer Behaviour,2
94,Contact Manager,2
95,Content Management,2
96,Content Management System (CMS),2
97,Content Marketing,2
98,Content Strategy,2
99,Convergence of Accounting Standards,2
100,Conversion Rate Optimization,2
101,Coordination,2
102,Copywriting,2
103,Corporate Communication,2
104,Corporate Finance,2
105,Cost Accounting,2
106,Cost Assessment,2
107,Cosumer Behaviour Drive,2
108,Crisis Management,2
109,Critical Thinking,2
110,Custom Slide,2
111,Customer Experience,2
112,Customer Relationship Management (CRM),2
113,Customer Service,2
114,Customer Service System,2
115,Decision Making,2
116,Decision Process,2
117,Delegation,2
118,Demo Skills,2
119,Development,2
120,Development Management,2
121,Digital Communication,2
122,Digital Literacy,2
123,Digital Marketing,2
124,Digital Photography,2
125,Distributed Management,2
126,Distribution,2
127,Documentation,2
128,Drupal,2
129,e-business,2
130,Earned Value Management (EVM),2
131,eCommerce,2
132,eCommerce Platforms,2
133,Editing,2
134,Effective Communication,2
135,Electronic Business,2
136,Email,2
137,Email Archiving,2
138,Email Client,2
139,Email Filtering,2
140,Email Management,2
141,Email Marketing,2
142,Email Marketing Campaign,2
143,Email Migration,2
144,Email Processing,2
145,Email Production,2
146,Email Writing,2
147,Empathy,2
148,Employee Development,2
149,Employee Learning,2
150,Enterprise Resource Planning (ERP),2
151,Enterprise Software,2
152,Enterprise System,2
153,Entrepreneurial Finance,2
154,Entrepreneurship,2
155,Environmental Consulting,2
156,Environmental Planning,2
157,Equity,2
158,Equity Statement,2
159,Event Planning,2
160,Events Services,2
161,Excel,2
162,Executive,2
163,Fabrication,2
164,Facebook Ads,2
165,Factoring,2
166,Finance,2
167,Financial Accounting,2
168,Financial Engineering,2
169,Financial Management,2
170,Financial Market,2
171,Financial Regulation,2
172,Financial Risk,2
173,Financial Risk Management,2
174,Financial Risk Modelling,2
175,Financial Services,2
176,Financial Statement,2
177,Financial Statement Analysis,2
178,First-in First-out (FIFO) Accounting,2
179,Food Service Operations,2
180,Forecasting,2
181,Forensic Accounting,2
182,Formatting,2
183,Formula Function,2
184,Fund Accounting,2
185,Gambling,2
186,Generally Accepeted Accounting Principles (GAAP),2
187,Generally-Accepted Auditing Standards (GAAS),2
188,Generally-Accepted Principles,2
189,Ghostwriting,2
190,Goods,2
191,Google Ads,2
192,Google Docs,2
193,Google Forms,2
194,Google Sheets,2
195,Google Slides,2
196,Governmental Accounting,2
197,Greenhopper,2
198,Growth Strategy,2
199,Heavyweight,2
200,Hospitality,2
201,Human Resource Management,2
202,Human Resources (HR),2
203,Incident Management,2
204,Income Statement,2
205,Industry,2
206,Innovation,2
207,Innovation Leadership,2
208,Innovation Management,2
209,Inside Sales,2
210,Insider Trading,2
211,Instant Messenger,2
212,Insurance,2
213,Intellectual Property (IP),2
214,Intellectual Property Rights,2
215,International Business,2
216,International Finance,2
217,International Financial Reporting Standards (IFRS),2
218,International Standards on Auditing (ISA),2
219,Investment,2
220,Investment Banking,2
221,Investment Management,2
222,Investor Relations,2
223,Joomla,2
224,Keynote,2
225,Know Your Customer (KYC),2
226,Knowledge Management,2
227,Last-in First-out (LIFO) Accounting,2
228,Lead Generation,2
229,Leadership,2
230,Leadership Development,2
231,Liquidation,2
232,Logistics,2
233,Lookup Table,2
234,Magento,2
235,Management,2
236,Management Accounting,2
237,Management Accounting Principles (MAP),2
238,Management Consulting,2
239,Management Information System (MIS),2
240,Managerial Finance,2
241,Manufacturing,2
242,Market,2
243,Market Analysis,2
244,Market Research,2
245,Market Research Analysis,2
246,Market Segmentation,2
247,Marketing,2
248,Marketing Channel,2
249,Marketing Consulting,2
250,Marketing Content Development,2
251,Marketing Design,2
252,Marketing Management,2
253,Marketing Psychology,2
254,Marketing Research,2
255,Mass Email,2
256,Materials Management,2
257,Media Planning,2
258,Media Production,2
259,Medium,2
260,Mergers and Acquisitions (M&A),2
261,Metamodel,2
262,Methodology,2
263,Microsoft,2
264,Microsoft Access,2
265,Microsoft Excel,2
266,Microsoft Office,2
267,Microsoft OneNote,2
268,Microsoft Outlook,2
269,Microsoft PowerPoint,2
270,Microsoft Word,2
271,Mining and Quarrying,2
272,Mobile Marketing,2
273,Music Production,2
274,Needs Analysis,2
275,Negotiation,2
276,Networking,2
277,Newsletters,2
278,Newspapers,2
279,Nonverbal Communication,2
280,Numerical Competence,2
281,Objection Handling,2
282,Objection Prevention,2
283,Office Administration,2
284,Office Management,2
285,Offshoring,2
286,Online Business,2
287,Online Marketing,2
288,Online Media,2
289,OpenCard,2
290,Operations Management,2
291,Organizational Behaviour,2
292,Organizational Skill,2
293,Organizational Studies,2
294,Outline of Management,2
295,Outlook,2
296,Outreach,2
297,Outsourcing,2
298,Page Setup,2
299,Paid Socia Media Advertisement,2
300,Pattern Finding,2
301,Pay-Per-Click (PPC) Marketing,2
302,Payroll Services,2
303,Performance Management,2
304,Performance Review,2
305,Persuasion,2
306,Petty Cash Control,2
307,Photography,2
308,Pivot Table,2
309,Planning,2
310,Point of Sale (POS) Software,2
311,Policy Analysis,2
312,Post-Sale Relationship Management,2
313,Power Management,2
314,PowerPoint,2
315,Presentation,2
316,PrestaShop,2
317,Private Equity,2
318,Problem Management,2
319,Problem Solving,2
320,Process Model,2
321,Processing,2
322,Procurement,2
323,Product,2
324,Product Development,2
325,Product Knowledge,2
326,Product Liability,2
327,Product Life-cycle Management (PLM),2
